Index,TIPOLOGIA_PENAL,Periodos,Value,tipo
1,CRIMINALIDAD CONVENCIONAL,ene-dic 2019,11194,aculumado
2,Homicidios dolosos y asesinatos consumados,ene-dic 2019,3,aculumado
3,Homicidios dolosos y asesinatos en grado tentativa,ene-dic 2019,8,aculumado
4,Delitos graves y menos graves de lesiones y riña tumultuaria,ene-dic 2019,107,aculumado
5,Secuestro,ene-dic 2019,0,aculumado
6,Delitos contra la libertad sexual,ene-dic 2019,82,aculumado
7,Agresión sexual con penetración,ene-dic 2019,18,aculumado
8,Resto de delitos contra la libertad sexual,ene-dic 2019,64,aculumado
9,Robos con violencia e intimidación,ene-dic 2019,1478,aculumado
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,ene-dic 2019,645,aculumado
11,Robos con fuerza en domicilios,ene-dic 2019,390,aculumado
12,Hurtos,ene-dic 2019,3684,aculumado
13,Sustracciones de vehículos,ene-dic 2019,265,aculumado
14,Tráfico de drogas,ene-dic 2019,51,aculumado
15,Resto de criminalidad convencional,ene-dic 2019,4871,aculumado
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),ene-dic 2019,1153,aculumado
17,Estafas informáticas,ene-dic 2019,1135,aculumado
18,Otros ciberdelitos,ene-dic 2019,18,aculumado
19,TOTAL INFRACCIONES PENALES,ene-dic 2019,12347,aculumado
1,CRIMINALIDAD CONVENCIONAL,ene-dic 2021,10309,aculumado
2,Homicidios dolosos y asesinatos consumados,ene-dic 2021,1,aculumado
3,Homicidios dolosos y asesinatos en grado tentativa,ene-dic 2021,4,aculumado
4,Delitos graves y menos graves de lesiones y riña tumultuaria,ene-dic 2021,112,aculumado
5,Secuestro,ene-dic 2021,0,aculumado
6,Delitos contra la libertad sexual,ene-dic 2021,86,aculumado
7,Agresión sexual con penetración,ene-dic 2021,15,aculumado
8,Resto de delitos contra la libertad sexual,ene-dic 2021,71,aculumado
9,Robos con violencia e intimidación,ene-dic 2021,1124,aculumado
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,ene-dic 2021,556,aculumado
11,Robos con fuerza en domicilios,ene-dic 2021,378,aculumado
12,Hurtos,ene-dic 2021,3347,aculumado
13,Sustracciones de vehículos,ene-dic 2021,191,aculumado
14,Tráfico de drogas,ene-dic 2021,67,aculumado
15,Resto de criminalidad convencional,ene-dic 2021,4821,aculumado
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),ene-dic 2021,1559,aculumado
17,Estafas informáticas,ene-dic 2021,1512,aculumado
18,Otros ciberdelitos,ene-dic 2021,47,aculumado
19,TOTAL INFRACCIONES PENALES,ene-dic 2021,11868,aculumado
1,CRIMINALIDAD CONVENCIONAL,ene-dic 2022,11725,aculumado
2,Homicidios dolosos y asesinatos consumados,ene-dic 2022,1,aculumado
3,Homicidios dolosos y asesinatos en grado tentativa,ene-dic 2022,9,aculumado
4,Delitos graves y menos graves de lesiones y riña tumultuaria,ene-dic 2022,120,aculumado
5,Secuestro,ene-dic 2022,0,aculumado
6,Delitos contra la libertad sexual,ene-dic 2022,100,aculumado
7,Agresión sexual con penetración,ene-dic 2022,26,aculumado
8,Resto de delitos contra la libertad sexual,ene-dic 2022,74,aculumado
9,Robos con violencia e intimidación,ene-dic 2022,1462,aculumado
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,ene-dic 2022,840,aculumado
11,Robos con fuerza en domicilios,ene-dic 2022,467,aculumado
12,Hurtos,ene-dic 2022,3825,aculumado
13,Sustracciones de vehículos,ene-dic 2022,251,aculumado
14,Tráfico de drogas,ene-dic 2022,50,aculumado
15,Resto de criminalidad convencional,ene-dic 2022,5067,aculumado
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),ene-dic 2022,1971,aculumado
17,Estafas informáticas,ene-dic 2022,1916,aculumado
18,Otros ciberdelitos,ene-dic 2022,55,aculumado
19,TOTAL INFRACCIONES PENALES,ene-dic 2022,13696,aculumado
1,CRIMINALIDAD CONVENCIONAL,ene-dic 2023,11881,aculumado
2,Homicidios dolosos y asesinatos consumados,ene-dic 2023,3,aculumado
3,Homicidios dolosos y asesinatos en grado tentativa,ene-dic 2023,10,aculumado
4,Delitos graves y menos graves de lesiones y riña tumultuaria,ene-dic 2023,133,aculumado
5,Secuestro,ene-dic 2023,1,aculumado
6,Delitos contra la libertad sexual,ene-dic 2023,109,aculumado
7,Agresión sexual con penetración,ene-dic 2023,37,aculumado
8,Resto de delitos contra la libertad sexual,ene-dic 2023,72,aculumado
9,Robos con violencia e intimidación,ene-dic 2023,1373,aculumado
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,ene-dic 2023,542,aculumado
11,Robos con fuerza en domicilios,ene-dic 2023,344,aculumado
12,Hurtos,ene-dic 2023,3969,aculumado
13,Sustracciones de vehículos,ene-dic 2023,233,aculumado
14,Tráfico de drogas,ene-dic 2023,75,aculumado
15,Resto de criminalidad convencional,ene-dic 2023,5433,aculumado
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),ene-dic 2023,2275,aculumado
17,Estafas informáticas,ene-dic 2023,2224,aculumado
18,Otros ciberdelitos,ene-dic 2023,51,aculumado
19,TOTAL INFRACCIONES PENALES,ene-dic 2023,14156,aculumado
1,CRIMINALIDAD CONVENCIONAL,ene-jun 2022,5868,aculumado
2,Homicidios dolosos y asesinatos consumados,ene-jun 2022,0,aculumado
3,Homicidios dolosos y asesinatos en grado tentativa,ene-jun 2022,3,aculumado
4,Delitos graves y menos graves de lesiones y riña tumultuaria,ene-jun 2022,57,aculumado
5,Secuestro,ene-jun 2022,0,aculumado
6,Delitos contra la libertad sexual,ene-jun 2022,43,aculumado
7,Agresión sexual con penetración,ene-jun 2022,17,aculumado
8,Resto de delitos contra la libertad sexual,ene-jun 2022,26,aculumado
9,Robos con violencia e intimidación,ene-jun 2022,665,aculumado
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,ene-jun 2022,492,aculumado
11,Robos con fuerza en domicilios,ene-jun 2022,267,aculumado
12,Hurtos,ene-jun 2022,1888,aculumado
13,Sustracciones de vehículos,ene-jun 2022,102,aculumado
14,Tráfico de drogas,ene-jun 2022,26,aculumado
15,Resto de criminalidad convencional,ene-jun 2022,2592,aculumado
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),ene-jun 2022,955,aculumado
17,Estafas informáticas,ene-jun 2022,927,aculumado
18,Otros ciberdelitos,ene-jun 2022,28,aculumado
19,TOTAL INFRACCIONES PENALES,ene-jun 2022,6823,aculumado
1,CRIMINALIDAD CONVENCIONAL,ene-jun 2023,5787,aculumado
2,Homicidios dolosos y asesinatos consumados,ene-jun 2023,2,aculumado
3,Homicidios dolosos y asesinatos en grado tentativa,ene-jun 2023,6,aculumado
4,Delitos graves y menos graves de lesiones y riña tumultuaria,ene-jun 2023,61,aculumado
5,Secuestro,ene-jun 2023,0,aculumado
6,Delitos contra la libertad sexual,ene-jun 2023,55,aculumado
7,Agresión sexual con penetración,ene-jun 2023,17,aculumado
8,Resto de delitos contra la libertad sexual,ene-jun 2023,38,aculumado
9,Robos con violencia e intimidación,ene-jun 2023,681,aculumado
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,ene-jun 2023,319,aculumado
11,Robos con fuerza en domicilios,ene-jun 2023,202,aculumado
12,Hurtos,ene-jun 2023,1955,aculumado
13,Sustracciones de vehículos,ene-jun 2023,118,aculumado
14,Tráfico de drogas,ene-jun 2023,32,aculumado
15,Resto de criminalidad convencional,ene-jun 2023,2558,aculumado
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),ene-jun 2023,1043,aculumado
17,Estafas informáticas,ene-jun 2023,1023,aculumado
18,Otros ciberdelitos,ene-jun 2023,20,aculumado
19,TOTAL INFRACCIONES PENALES,ene-jun 2023,6830,aculumado
1,CRIMINALIDAD CONVENCIONAL,ene-jun 2024,6394,aculumado
2,Homicidios dolosos y asesinatos consumados,ene-jun 2024,1,aculumado
3,Homicidios dolosos y asesinatos en grado tentativa,ene-jun 2024,6,aculumado
4,Delitos graves y menos graves de lesiones y riña tumultuaria,ene-jun 2024,68,aculumado
5,Secuestro,ene-jun 2024,0,aculumado
6,Delitos contra la libertad sexual,ene-jun 2024,41,aculumado
7,Agresión sexual con penetración,ene-jun 2024,17,aculumado
8,Resto de delitos contra la libertad sexual,ene-jun 2024,24,aculumado
