geo,tipo,año,trimestre,valor
08015 Badalona,1. Homicidios dolosos y asesinatos consumados,2022,T1,0.0
08015 Badalona,1. Homicidios dolosos y asesinatos consumados,2023,T1,0.0
08015 Badalona,1. Homicidios dolosos y asesinatos consumados,2024,T1,0.0
08015 Badalona,1. Homicidios dolosos y asesinatos consumados,2025,T1,2.0
08015 Badalona,1.-DELITOS Y FALTAS (EU),2015,T1,2778.0
08015 Badalona,1.-DELITOS Y FALTAS (EU),2016,T1,2617.0
08015 Badalona,1.-Homicidios dolosos y asesinatos consumados,2016,T1,1.0
08015 Badalona,1.-Homicidios dolosos y asesinatos consumados,2017,T1,1.0
08015 Badalona,1.-Homicidios dolosos y asesinatos consumados,2018,T1,0.0
08015 Badalona,1.-Homicidios dolosos y asesinatos consumados,2019,T1,2.0
08015 Badalona,1.-Homicidios dolosos y asesinatos consumados,2020,T1,0.0
08015 Badalona,1.-Homicidios dolosos y asesinatos consumados,2021,T1,1.0
08015 Badalona,1.-Homicidios dolosos y asesinatos consumados,2022,T1,0.0
08015 Badalona,10. Tráfico de drogas,2022,T1,10.0
08015 Badalona,10. Tráfico de drogas,2023,T1,40.0
08015 Badalona,10. Tráfico de drogas,2024,T1,24.0
08015 Badalona,10. Tráfico de drogas,2025,T1,27.0
08015 Badalona,10.-Tráfico de drogas,2016,T1,8.0
08015 Badalona,10.-Tráfico de drogas,2017,T1,8.0
08015 Badalona,10.-Tráfico de drogas,2018,T1,17.0
08015 Badalona,10.-Tráfico de drogas,2019,T1,7.0
08015 Badalona,10.-Tráfico de drogas,2020,T1,18.0
08015 Badalona,10.-Tráfico de drogas,2021,T1,17.0
08015 Badalona,10.-Tráfico de drogas,2022,T1,9.0
08015 Badalona,11. Resto de criminalidad convencional,2022,T1,1325.0
08015 Badalona,11. Resto de criminalidad convencional,2023,T1,2560.0
08015 Badalona,11. Resto de criminalidad convencional,2024,T1,1606.0
08015 Badalona,11. Resto de criminalidad convencional,2025,T1,1640.0
08015 Badalona,12.-Estafas informáticas,2022,T1,508.0
08015 Badalona,12.-Estafas informáticas,2023,T1,962.0
08015 Badalona,12.-Estafas informáticas,2024,T1,626.0
08015 Badalona,12.-Estafas informáticas,2025,T1,467.0
08015 Badalona,13.-Otros ciberdelitos,2022,T1,13.0
08015 Badalona,13.-Otros ciberdelitos,2023,T1,19.0
08015 Badalona,13.-Otros ciberdelitos,2024,T1,22.0
08015 Badalona,13.-Otros ciberdelitos,2025,T1,50.0
08015 Badalona,2. Homicidios dolosos y asesinatos en grado tentativa,2022,T1,3.0
08015 Badalona,2. Homicidios dolosos y asesinatos en grado tentativa,2023,T1,4.0
08015 Badalona,2. Homicidios dolosos y asesinatos en grado tentativa,2024,T1,3.0
08015 Badalona,2. Homicidios dolosos y asesinatos en grado tentativa,2025,T1,5.0
08015 Badalona,2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),2015,T1,0.0
08015 Badalona,2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),2016,T1,1.0
08015 Badalona,2.-Homicidios dolosos y asesinatos en grado tentativa,2016,T1,2.0
08015 Badalona,2.-Homicidios dolosos y asesinatos en grado tentativa,2017,T1,0.0
08015 Badalona,2.-Homicidios dolosos y asesinatos en grado tentativa,2018,T1,2.0
08015 Badalona,2.-Homicidios dolosos y asesinatos en grado tentativa,2019,T1,1.0
08015 Badalona,2.-Homicidios dolosos y asesinatos en grado tentativa,2020,T1,1.0
08015 Badalona,2.-Homicidios dolosos y asesinatos en grado tentativa,2021,T1,1.0
