periodo,municipio,tipología,cp,valor,población,valor_ratio
enero--diciembre 2023,Badalona,III. TOTAL INFRACCIONES PENALES,08015,14.168,227083,0.01
enero-diciembre 2024,Badalona,III. TOTAL INFRACCIONES PENALES,08015,15.062,227083,0.01
enero-junio 2023,Badalona,III. TOTAL INFRACCIONES PENALES,08015,6.837,227083,0.0
enero-junio 2024,Badalona,III. TOTAL INFRACCIONES PENALES,08015,15.235,227083,0.01
enero-junio 2025,Badalona,III. TOTAL INFRACCIONES PENALES,08015,7.566,227083,0.0
enero-marzo 2023,Badalona,III. TOTAL INFRACCIONES PENALES,08015,3.36,227083,0.0
enero-marzo 2024,Badalona,III. TOTAL INFRACCIONES PENALES,08015,7.775,227083,0.0
enero-marzo 2025,Badalona,III. TOTAL INFRACCIONES PENALES,08015,3.755,227083,0.0
enero-septiembre 2023,Badalona,III. TOTAL INFRACCIONES PENALES,08015,10.465,227083,0.0
enero-septiembre 2024,Badalona,III. TOTAL INFRACCIONES PENALES,08015,11.415,227083,0.01
variación % 2024/2023,Badalona,III. TOTAL INFRACCIONES PENALES,08015,424.0,227083,0.19
variación % 2025/2024,Badalona,III. TOTAL INFRACCIONES PENALES,08015,-41.0,227083,-0.02
enero--diciembre 2023,Badalona,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),08015,2.298,227083,0.0
enero-diciembre 2024,Badalona,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),08015,2.225,227083,0.0
enero-junio 2023,Badalona,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),08015,1.052,227083,0.0
enero-junio 2024,Badalona,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),08015,2.4459999999999997,227083,0.0
enero-junio 2025,Badalona,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),08015,994.0,227083,0.44
enero-marzo 2023,Badalona,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),08015,491.0,227083,0.22
enero-marzo 2024,Badalona,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),08015,1285.0,227083,0.57
enero-marzo 2025,Badalona,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),08015,517.0,227083,0.23
enero-septiembre 2023,Badalona,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),08015,1.67,227083,0.0
enero-septiembre 2024,Badalona,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),08015,1.746,227083,0.0
variación % 2024/2023,Badalona,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),08015,469.0,227083,0.21
