Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2021;29
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2022;37
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2022/2021;27,6
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2021;94
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2022;126
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2022/2021;34,0
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2021;1.535
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2022;2.251
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2022/2021;46,6
ANDALUCÍA;4.-Secuestro;Enero-junio 2021;11
ANDALUCÍA;4.-Secuestro;Enero-junio 2022;9
ANDALUCÍA;4.-Secuestro;Variación % 2022/2021;-18,2
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-junio 2021;1.328
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-junio 2022;1.606
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2022/2021;20,9
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-junio 2021;142
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-junio 2022;164
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2022/2021;15,5
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-junio 2021;1.186
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-junio 2022;1.442
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2022/2021;21,6
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-junio 2021;2.540
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-junio 2022;3.546
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2022/2021;39,6
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2021;7.457
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2022;9.181
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2022/2021;23,1
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-junio 2021;5.133
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-junio 2022;6.417
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2022/2021;25,0
ANDALUCÍA;8.-Hurtos;Enero-junio 2021;29.477
ANDALUCÍA;8.-Hurtos;Enero-junio 2022;42.940
ANDALUCÍA;8.-Hurtos;Variación % 2022/2021;45,7
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-junio 2021;2.262
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-junio 2022;2.647
ANDALUCÍA;9.-Sustracciones de vehículos;Variación % 2022/2021;17,0
ANDALUCÍA;10.-Tráfico de drogas;Enero-junio 2021;2.430
ANDALUCÍA;10.-Tráfico de drogas;Enero-junio 2022;2.387
ANDALUCÍA;10.-Tráfico de drogas;Variación % 2022/2021;-1,8
ANDALUCÍA;Resto de infracciones penales;Enero-junio 2021;99.213
ANDALUCÍA;Resto de infracciones penales;Enero-junio 2022;118.450
ANDALUCÍA;Resto de infracciones penales;Variación % 2022/2021;19,4
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-junio 2021;146.376
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-junio 2022;183.180
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Variación % 2022/2021;25,1
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2021;3
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2022;6
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2022/2021;100,0
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2021;9
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2022;17
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2022/2021;88,9
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2021;161
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2022;225
