geo_mun_unique;cp_pk_tab_pob
01059 Vitoria-Gasteiz;01059
02003 Albacete;02003
02009 Almansa;02009
02037 Hellín;02037
02081 Villarrobledo;02081
03009 Alcoy/Alcoi;03009
03011 L'Alfàs del Pi;03011
03014 Alicante/Alacant;03014
03015 Almoradí;03015
03018 Altea;03018
03019 Aspe;03019
03031 Benidorm;03031
03047 Calp;03047
03050 Campello (el);03050
03059 Crevillent;03059
03063 Dénia;03063
03065 Elche/Elx;03065
03066 Elda;03066
03079 Ibi;03079
03082 Jávea/Xàbia;03082
03090 Mutxamel;03090
03093 Novelda;03093
03099 Orihuela;03099
03104 Petrer;03104
03119 Sant Joan d'Alacant;03119
03121 Santa Pola;03121
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;03122
03133 Torrevieja;03133
03139 Villajoyosa/Vila Joiosa (la);03139
03140 Villena;03140
03902 Pilar de la Horadada;03902
04003 Adra;04003
04013 Almería;04013
04053 Huércal-Overa;04053
04066 Níjar;04066
04079 Roquetas de Mar;04079
04102 Vícar;04102
04902 Ejido (El);04902
05019 Ávila;05019
06011 Almendralejo;06011
06015 Badajoz;06015
06044 Don Benito;06044
06083 Mérida;06083
06153 Villanueva de la Serena;06153
07003 Alcudia;07003
07011 Calvià;07011
07015 Ciutadella de Menorca;07015
07026 Eivissa;07026
07027 Inca;07027
07031 Llucmajor;07031
07032 Maó-Mahón;07032
07033 Manacor;07033
07036 Marratxí;07036
07040 Palma;07040
07046 Sant Antoni de Portmany;07046
07048 Sant Josep de sa Talaia;07048
07054 Santa Eulària des Riu;07054
08015 Badalona;08015
08019 Barcelona;08019
08035 Calella;08035
08051 Castellar del Vallès;08051
08056 Castelldefels;08056
08073 Cornellà de Llobregat;08073
08076 Esparreguera;08076
08077 Esplugues de Llobregat;08077
08086 Les Franqueses del Vallès;08086
08089 Gavà;08089
08096 Granollers;08096
08101 Hospitalet de Llobregat (L');08101
08102 Igualada;08102
08112 Manlleu;08112
08113 Manresa;08113
08114 Martorell;08114
08118 Masnou (El);08118
08121 Mataró;08121
08123 Molins de Rei;08123
08124 Mollet del Vallès;08124
08125 Montcada i Reixac;08125
08147 Olesa de Montserrat;08147
08163 Pineda de Mar;08163
08169 Prat de Llobregat (El);08169
08172 Premià de Mar;08172
08180 Ripollet;08180
08184 Rubí;08184
08187 Sabadell;08187
08194 Sant Adrià de Besòs;08194
08196 Sant Andreu de la Barca;08196
08200 Sant Boi de Llobregat;08200
08205 Sant Cugat del Vallès;08205
08211 Sant Feliu de Llobregat;08211
08217 Sant Joan Despí;08217
08219 Vilassar de Mar;08219
08221 Sant Just Desvern;08221
08231 Sant Pere de Ribes;08231
08238 Sant Quirze del Vallès;08238
08245 Santa Coloma de Gramenet;08245
08252 Barberà del Vallès;08252
08260 Santa Perpètua de Mogoda;08260
08263 Sant Vicenç dels Horts;08263
08266 Cerdanyola del Vallès;08266
08270 Sitges;08270
08279 Terrassa;08279
08298 Vic;08298
08301 Viladecans;08301
08305 Vilafranca del Penedès;08305
08307 Vilanova i la Geltrú;08307
09018 Aranda de Duero;09018
