geo_pro_unique;cpro_pk_tab_pro
Provincia de ARABA/ÁLAVA;01
Provincia de ALBACETE;02
Provincia de ALICANTE/ALACANT;03
Provincia de ALMERÍA;04
Provincia de ÁVILA;05
Provincia de BADAJOZ;06
Provincia de BARCELONA;08
Provincia de BURGOS;09
Provincia de CÁCERES;10
Provincia de CÁDIZ;11
Provincia de CASTELLÓN/CASTELLÓ;12
Provincia de CIUDAD REAL;13
Provincia de CÓRDOBA;14
Provincia de CORUÑA (A);15
Provincia de CUENCA;16
Provincia de GIRONA;17
Provincia de GRANADA;18
Provincia de GUADALAJARA;19
Provincia de GIPUZKOA;20
Provincia de HUELVA;21
Provincia de HUESCA;22
Provincia de JAÉN;23
Provincia de LEÓN;24
Provincia de LLEIDA;25
Provincia de LUGO;27
Provincia de MÁLAGA;29
Provincia de OURENSE;32
Provincia de PALENCIA;34
Provincia de PALMAS (LAS);35
Provincia de PONTEVEDRA;36
Provincia de SALAMANCA;37
Provincia de SANTA CRUZ DE TENERIFE;38
Provincia de SEGOVIA;40
Provincia de SEVILLA;41
Provincia de SORIA;42
Provincia de TARRAGONA;43
Provincia de TERUEL;44
Provincia de TOLEDO;45
Provincia de VALENCIA/VALÈNCIA;46
Provincia de VALLADOLID;47
Provincia de BIZKAIA;48
Provincia de ZAMORA;49
Provincia de ZARAGOZA;50
