geografía,tipología,periodo,valor,cp,población,provincia
ANDALUCÍA,I. CRIMINALIDAD CONVENCIONAL,enero-junio 2025,160.038,,ANDALUCÍA,
ANDALUCÍA,I. CRIMINALIDAD CONVENCIONAL,Variación % 2025/2024,"-1,7",,ANDALUCÍA,
ANDALUCÍA,1. Homicidios dolosos y asesinatos consumados,enero-junio 2024,51,,ANDALUCÍA,
ANDALUCÍA,1. Homicidios dolosos y asesinatos consumados,enero-junio 2025,46,,ANDALUCÍA,
ANDALUCÍA,1. Homicidios dolosos y asesinatos consumados,Variación % 2025/2024,"-9,8",,ANDALUCÍA,
ANDALUCÍA,2. Homicidios dolosos y asesinatos en grado tentativa,enero-junio 2024,116,,ANDALUCÍA,
ANDALUCÍA,2. Homicidios dolosos y asesinatos en grado tentativa,enero-junio 2025,153,,ANDALUCÍA,
ANDALUCÍA,2. Homicidios dolosos y asesinatos en grado tentativa,Variación % 2025/2024,"31,9",,ANDALUCÍA,
ANDALUCÍA,3. Delitos graves y menos graves de lesiones y riña tumultuaria,enero-junio 2024,2.610,,ANDALUCÍA,
ANDALUCÍA,3. Delitos graves y menos graves de lesiones y riña tumultuaria,enero-junio 2025,2.693,,ANDALUCÍA,
ANDALUCÍA,3. Delitos graves y menos graves de lesiones y riña tumultuaria,Variación % 2025/2024,"3,2",,ANDALUCÍA,
ANDALUCÍA,4. Secuestro,enero-junio 2024,16,,ANDALUCÍA,
ANDALUCÍA,4. Secuestro,enero-junio 2025,21,,ANDALUCÍA,
ANDALUCÍA,4. Secuestro,Variación % 2025/2024,"31,3",,ANDALUCÍA,
ANDALUCÍA,5. Delitos contra la libertad sexual,enero-junio 2024,1.504,,ANDALUCÍA,
ANDALUCÍA,5. Delitos contra la libertad sexual,enero-junio 2025,1.517,,ANDALUCÍA,
ANDALUCÍA,5. Delitos contra la libertad sexual,Variación % 2025/2024,"0,9",,ANDALUCÍA,
ANDALUCÍA,5.1.-Agresión sexual con penetración,enero-junio 2024,296,,ANDALUCÍA,
ANDALUCÍA,5.1.-Agresión sexual con penetración,enero-junio 2025,299,,ANDALUCÍA,
ANDALUCÍA,5.1.-Agresión sexual con penetración,Variación % 2025/2024,"1,0",,ANDALUCÍA,
ANDALUCÍA,5.2.-Resto de delitos contra la libertad sexual,enero-junio 2024,1.208,,ANDALUCÍA,
ANDALUCÍA,5.2.-Resto de delitos contra la libertad sexual,enero-junio 2025,1.218,,ANDALUCÍA,
ANDALUCÍA,5.2.-Resto de delitos contra la libertad sexual,Variación % 2025/2024,"0,8",,ANDALUCÍA,
ANDALUCÍA,6. Robos con violencia e intimidación,enero-junio 2024,3.748,,ANDALUCÍA,
ANDALUCÍA,6. Robos con violencia e intimidación,enero-junio 2025,3.464,,ANDALUCÍA,
ANDALUCÍA,6. Robos con violencia e intimidación,Variación % 2025/2024,"-7,6",,ANDALUCÍA,
ANDALUCÍA,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",enero-junio 2024,9.237,,ANDALUCÍA,
ANDALUCÍA,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",enero-junio 2025,7.925,,ANDALUCÍA,
ANDALUCÍA,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",Variación % 2025/2024,"-14,2",,ANDALUCÍA,
ANDALUCÍA,7.1.-Robos con fuerza en domicilios,enero-junio 2024,6.357,,ANDALUCÍA,
ANDALUCÍA,7.1.-Robos con fuerza en domicilios,enero-junio 2025,5.418,,ANDALUCÍA,
ANDALUCÍA,7.1.-Robos con fuerza en domicilios,Variación % 2025/2024,"-14,8",,ANDALUCÍA,
ANDALUCÍA,8. Hurtos,enero-junio 2024,45.667,,ANDALUCÍA,
ANDALUCÍA,8. Hurtos,enero-junio 2025,43.262,,ANDALUCÍA,
ANDALUCÍA,8. Hurtos,Variación % 2025/2024,"-5,3",,ANDALUCÍA,
ANDALUCÍA,9. Sustracciones de vehículos,enero-junio 2024,2.971,,ANDALUCÍA,
ANDALUCÍA,9. Sustracciones de vehículos,enero-junio 2025,2.930,,ANDALUCÍA,
ANDALUCÍA,9. Sustracciones de vehículos,Variación % 2025/2024,"-1,4",,ANDALUCÍA,
ANDALUCÍA,10. Tráfico de drogas,enero-junio 2024,2.302,,ANDALUCÍA,
ANDALUCÍA,10. Tráfico de drogas,enero-junio 2025,2.116,,ANDALUCÍA,
ANDALUCÍA,10. Tráfico de drogas,Variación % 2025/2024,"-8,1",,ANDALUCÍA,
ANDALUCÍA,11. Resto de criminalidad convencional,enero-junio 2024,94.562,,ANDALUCÍA,
ANDALUCÍA,11. Resto de criminalidad convencional,enero-junio 2025,95.911,,ANDALUCÍA,
ANDALUCÍA,11. Resto de criminalidad convencional,Variación % 2025/2024,"1,4",,ANDALUCÍA,
ANDALUCÍA,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),enero-junio 2024,41.519,,ANDALUCÍA,
ANDALUCÍA,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),enero-junio 2025,45.183,,ANDALUCÍA,
ANDALUCÍA,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),Variación % 2025/2024,"8,8",,ANDALUCÍA,
ANDALUCÍA,12.-Estafas informáticas,enero-junio 2024,36.204,,ANDALUCÍA,
ANDALUCÍA,12.-Estafas informáticas,enero-junio 2025,38.327,,ANDALUCÍA,
ANDALUCÍA,12.-Estafas informáticas,Variación % 2025/2024,"5,9",,ANDALUCÍA,
ANDALUCÍA,13.-Otros ciberdelitos,enero-junio 2024,5.315,,ANDALUCÍA,
ANDALUCÍA,13.-Otros ciberdelitos,enero-junio 2025,6.856,,ANDALUCÍA,
ANDALUCÍA,13.-Otros ciberdelitos,Variación % 2025/2024,"29,0",,ANDALUCÍA,
ANDALUCÍA,III. TOTAL INFRACCIONES PENALES,enero-junio 2024,204.303,,ANDALUCÍA,
ANDALUCÍA,III. TOTAL INFRACCIONES PENALES,enero-junio 2025,205.221,,ANDALUCÍA,
ANDALUCÍA,III. TOTAL INFRACCIONES PENALES,Variación % 2025/2024,"0,4",,ANDALUCÍA,
Provincia de ALMERÍA,I. CRIMINALIDAD CONVENCIONAL,enero-junio 2024,13.941,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,I. CRIMINALIDAD CONVENCIONAL,enero-junio 2025,14.643,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,I. CRIMINALIDAD CONVENCIONAL,Variación % 2025/2024,"5,0",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,1. Homicidios dolosos y asesinatos consumados,enero-junio 2024,7,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,1. Homicidios dolosos y asesinatos consumados,enero-junio 2025,5,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,1. Homicidios dolosos y asesinatos consumados,Variación % 2025/2024,"-28,6",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,2. Homicidios dolosos y asesinatos en grado tentativa,enero-junio 2024,4,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,2. Homicidios dolosos y asesinatos en grado tentativa,enero-junio 2025,12,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,2. Homicidios dolosos y asesinatos en grado tentativa,Variación % 2025/2024,"200,0",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,3. Delitos graves y menos graves de lesiones y riña tumultuaria,enero-junio 2024,264,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,3. Delitos graves y menos graves de lesiones y riña tumultuaria,enero-junio 2025,286,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,3. Delitos graves y menos graves de lesiones y riña tumultuaria,Variación % 2025/2024,"8,3",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,4. Secuestro,enero-junio 2024,1,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,4. Secuestro,enero-junio 2025,0,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,4. Secuestro,Variación % 2025/2024,"-100,0",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,5. Delitos contra la libertad sexual,enero-junio 2024,169,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,5. Delitos contra la libertad sexual,enero-junio 2025,177,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,5. Delitos contra la libertad sexual,Variación % 2025/2024,"4,7",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,5.1.-Agresión sexual con penetración,enero-junio 2024,36,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,5.1.-Agresión sexual con penetración,enero-junio 2025,29,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,5.1.-Agresión sexual con penetración,Variación % 2025/2024,"-19,4",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,5.2.-Resto de delitos contra la libertad sexual,enero-junio 2024,133,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,5.2.-Resto de delitos contra la libertad sexual,enero-junio 2025,148,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,5.2.-Resto de delitos contra la libertad sexual,Variación % 2025/2024,"11,3",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,6. Robos con violencia e intimidación,enero-junio 2024,321,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,6. Robos con violencia e intimidación,enero-junio 2025,306,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,6. Robos con violencia e intimidación,Variación % 2025/2024,"-4,7",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",enero-junio 2024,857,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",enero-junio 2025,703,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",Variación % 2025/2024,"-18,0",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,7.1.-Robos con fuerza en domicilios,enero-junio 2024,675,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,7.1.-Robos con fuerza en domicilios,enero-junio 2025,538,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,7.1.-Robos con fuerza en domicilios,Variación % 2025/2024,"-20,3",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,8. Hurtos,enero-junio 2024,3.016,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,8. Hurtos,enero-junio 2025,3.446,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,8. Hurtos,Variación % 2025/2024,"14,3",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,9. Sustracciones de vehículos,enero-junio 2024,183,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,9. Sustracciones de vehículos,enero-junio 2025,137,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,9. Sustracciones de vehículos,Variación % 2025/2024,"-25,1",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,10. Tráfico de drogas,enero-junio 2024,262,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,10. Tráfico de drogas,enero-junio 2025,212,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,10. Tráfico de drogas,Variación % 2025/2024,"-19,1",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,11. Resto de criminalidad convencional,enero-junio 2024,8.857,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,11. Resto de criminalidad convencional,enero-junio 2025,9.359,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,11. Resto de criminalidad convencional,Variación % 2025/2024,"5,7",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),enero-junio 2024,2.870,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),enero-junio 2025,3.034,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),Variación % 2025/2024,"5,7",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,12.-Estafas informáticas,enero-junio 2024,2.486,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,12.-Estafas informáticas,enero-junio 2025,2.683,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,12.-Estafas informáticas,Variación % 2025/2024,"7,9",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,13.-Otros ciberdelitos,enero-junio 2024,384,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,13.-Otros ciberdelitos,enero-junio 2025,351,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,13.-Otros ciberdelitos,Variación % 2025/2024,"-8,6",,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,III. TOTAL INFRACCIONES PENALES,enero-junio 2024,16.811,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,III. TOTAL INFRACCIONES PENALES,enero-junio 2025,17.677,,Provincia de ALMERÍA,Provincia de ALMERÍA
Provincia de ALMERÍA,III. TOTAL INFRACCIONES PENALES,Variación % 2025/2024,"5,2",,Provincia de ALMERÍA,Provincia de ALMERÍA
04003 Adra,I. CRIMINALIDAD CONVENCIONAL,enero-junio 2024,471,04003,Adra,
04003 Adra,I. CRIMINALIDAD CONVENCIONAL,enero-junio 2025,434,04003,Adra,
04003 Adra,I. CRIMINALIDAD CONVENCIONAL,Variación % 2025/2024,"-7,9",04003,Adra,
04003 Adra,1. Homicidios dolosos y asesinatos consumados,enero-junio 2024,0,04003,Adra,
04003 Adra,1. Homicidios dolosos y asesinatos consumados,enero-junio 2025,1,04003,Adra,
04003 Adra,1. Homicidios dolosos y asesinatos consumados,Variación % 2025/2024,"100,0",04003,Adra,
04003 Adra,2. Homicidios dolosos y asesinatos en grado tentativa,enero-junio 2024,0,04003,Adra,
04003 Adra,2. Homicidios dolosos y asesinatos en grado tentativa,enero-junio 2025,2,04003,Adra,
04003 Adra,2. Homicidios dolosos y asesinatos en grado tentativa,Variación % 2025/2024,"100,0",04003,Adra,
04003 Adra,3. Delitos graves y menos graves de lesiones y riña tumultuaria,enero-junio 2024,7,04003,Adra,
04003 Adra,3. Delitos graves y menos graves de lesiones y riña tumultuaria,enero-junio 2025,9,04003,Adra,
04003 Adra,3. Delitos graves y menos graves de lesiones y riña tumultuaria,Variación % 2025/2024,"28,6",04003,Adra,
04003 Adra,4. Secuestro,enero-junio 2024,0,04003,Adra,
04003 Adra,4. Secuestro,enero-junio 2025,0,04003,Adra,
04003 Adra,4. Secuestro,Variación % 2025/2024,"0,0",04003,Adra,
04003 Adra,5. Delitos contra la libertad sexual,enero-junio 2024,4,04003,Adra,
04003 Adra,5. Delitos contra la libertad sexual,enero-junio 2025,2,04003,Adra,
04003 Adra,5. Delitos contra la libertad sexual,Variación % 2025/2024,"-50,0",04003,Adra,
