geo,periodo,fichero
01059 Vitoria-Gasteiz,T1 2023,20241
01059 Vitoria-Gasteiz,T2 2023,20242
01059 Vitoria-Gasteiz,T3 2023,20243
01059 Vitoria-Gasteiz,T3 2024,20243
01059 Vitoria-Gasteiz,T4 2023,20244
01059 Vitoria-Gasteiz,T4 2024,20244
01059 Vitoria-Gasteiz,T1 2024,20251
01059 Vitoria-Gasteiz,T1 2025,20251
01059 Vitoria-Gasteiz,T2 2024,20252
01059 Vitoria-Gasteiz,T2 2025,20252
02003 Albacete,T1 2023,20241
02003 Albacete,T2 2023,20242
02003 Albacete,T3 2023,20243
02003 Albacete,T3 2024,20243
02003 Albacete,T4 2023,20244
02003 Albacete,T4 2024,20244
02003 Albacete,T1 2024,20251
02003 Albacete,T1 2025,20251
02003 Albacete,T2 2024,20252
02003 Albacete,T2 2025,20252
02009 Almansa,T1 2023,20241
02009 Almansa,T2 2023,20242
02009 Almansa,T3 2023,20243
02009 Almansa,T3 2024,20243
02009 Almansa,T4 2023,20244
02009 Almansa,T4 2024,20244
02009 Almansa,T1 2024,20251
02009 Almansa,T1 2025,20251
02009 Almansa,T2 2024,20252
02009 Almansa,T2 2025,20252
02037 Hellín,T1 2023,20241
02037 Hellín,T2 2023,20242
02037 Hellín,T3 2023,20243
02037 Hellín,T3 2024,20243
02037 Hellín,T4 2023,20244
02037 Hellín,T4 2024,20244
02037 Hellín,T1 2024,20251
02037 Hellín,T1 2025,20251
02037 Hellín,T2 2024,20252
02037 Hellín,T2 2025,20252
02081 Villarrobledo,T1 2023,20241
02081 Villarrobledo,T2 2023,20242
02081 Villarrobledo,T3 2023,20243
02081 Villarrobledo,T3 2024,20243
02081 Villarrobledo,T4 2023,20244
02081 Villarrobledo,T4 2024,20244
02081 Villarrobledo,T1 2024,20251
02081 Villarrobledo,T1 2025,20251
02081 Villarrobledo,T2 2024,20252
02081 Villarrobledo,T2 2025,20252
03009 Alcoy/Alcoi,T1 2023,20241
03009 Alcoy/Alcoi,T2 2023,20242
03009 Alcoy/Alcoi,T3 2023,20243
03009 Alcoy/Alcoi,T3 2024,20243
03009 Alcoy/Alcoi,T4 2023,20244
03009 Alcoy/Alcoi,T4 2024,20244
03009 Alcoy/Alcoi,T1 2024,20251
03009 Alcoy/Alcoi,T1 2025,20251
03009 Alcoy/Alcoi,T2 2024,20252
03009 Alcoy/Alcoi,T2 2025,20252
03011 L'Alfàs del Pi,T1 2023,20241
03011 L'Alfàs del Pi,T2 2023,20242
03011 L'Alfàs del Pi,T3 2023,20243
03011 L'Alfàs del Pi,T3 2024,20243
03011 L'Alfàs del Pi,T4 2023,20244
03011 L'Alfàs del Pi,T4 2024,20244
03011 L'Alfàs del Pi,T1 2024,20251
03011 L'Alfàs del Pi,T1 2025,20251
03011 L'Alfàs del Pi,T2 2024,20252
03011 L'Alfàs del Pi,T2 2025,20252
03014 Alicante/Alacant,T1 2023,20241
03014 Alicante/Alacant,T2 2023,20242
03014 Alicante/Alacant,T3 2023,20243
03014 Alicante/Alacant,T3 2024,20243
03014 Alicante/Alacant,T4 2023,20244
03014 Alicante/Alacant,T4 2024,20244
03014 Alicante/Alacant,T1 2024,20251
03014 Alicante/Alacant,T1 2025,20251
03014 Alicante/Alacant,T2 2024,20252
03014 Alicante/Alacant,T2 2025,20252
03015 Almoradí,T1 2023,20241
03015 Almoradí,T2 2023,20242
03015 Almoradí,T3 2023,20243
03015 Almoradí,T3 2024,20243
03015 Almoradí,T4 2023,20244
03015 Almoradí,T4 2024,20244
03015 Almoradí,T1 2024,20251
03015 Almoradí,T1 2025,20251
03015 Almoradí,T2 2024,20252
03015 Almoradí,T2 2025,20252
03018 Altea,T1 2023,20241
03018 Altea,T2 2023,20242
03018 Altea,T3 2023,20243
03018 Altea,T3 2024,20243
03018 Altea,T4 2023,20244
03018 Altea,T4 2024,20244
03018 Altea,T1 2024,20251
03018 Altea,T1 2025,20251
03018 Altea,T2 2024,20252
03018 Altea,T2 2025,20252
03019 Aspe,T1 2023,20241
03019 Aspe,T2 2023,20242
03019 Aspe,T3 2023,20243
03019 Aspe,T3 2024,20243
03019 Aspe,T4 2023,20244
03019 Aspe,T4 2024,20244
03019 Aspe,T1 2024,20251
03019 Aspe,T1 2025,20251
03019 Aspe,T2 2024,20252
03019 Aspe,T2 2025,20252
03031 Benidorm,T1 2023,20241
03031 Benidorm,T2 2023,20242
03031 Benidorm,T3 2023,20243
03031 Benidorm,T3 2024,20243
03031 Benidorm,T4 2023,20244
03031 Benidorm,T4 2024,20244
03031 Benidorm,T1 2024,20251
03031 Benidorm,T1 2025,20251
03031 Benidorm,T2 2024,20252
03031 Benidorm,T2 2025,20252
03047 Calp,T1 2023,20241
03047 Calp,T2 2023,20242
03047 Calp,T3 2023,20243
03047 Calp,T3 2024,20243
03047 Calp,T4 2023,20244
03047 Calp,T4 2024,20244
03047 Calp,T1 2024,20251
03047 Calp,T1 2025,20251
03047 Calp,T2 2024,20252
03047 Calp,T2 2025,20252
03050 Campello (el),T1 2023,20241
03050 Campello (el),T2 2023,20242
03050 Campello (el),T3 2023,20243
03050 Campello (el),T3 2024,20243
03050 Campello (el),T4 2023,20244
03050 Campello (el),T4 2024,20244
03050 Campello (el),T1 2024,20251
03050 Campello (el),T1 2025,20251
03050 Campello (el),T2 2024,20252
03050 Campello (el),T2 2025,20252
03059 Crevillent,T1 2023,20241
03059 Crevillent,T2 2023,20242
03059 Crevillent,T3 2023,20243
03059 Crevillent,T3 2024,20243
03059 Crevillent,T4 2023,20244
03059 Crevillent,T4 2024,20244
03059 Crevillent,T1 2024,20251
03059 Crevillent,T1 2025,20251
03059 Crevillent,T2 2024,20252
03059 Crevillent,T2 2025,20252
03063 Dénia,T1 2023,20241
03063 Dénia,T2 2023,20242
03063 Dénia,T3 2023,20243
03063 Dénia,T3 2024,20243
03063 Dénia,T4 2023,20244
03063 Dénia,T4 2024,20244
03063 Dénia,T1 2024,20251
03063 Dénia,T1 2025,20251
03063 Dénia,T2 2024,20252
03063 Dénia,T2 2025,20252
03065 Elche/Elx,T1 2023,20241
03065 Elche/Elx,T2 2023,20242
03065 Elche/Elx,T3 2023,20243
03065 Elche/Elx,T3 2024,20243
03065 Elche/Elx,T4 2023,20244
03065 Elche/Elx,T4 2024,20244
03065 Elche/Elx,T1 2024,20251
03065 Elche/Elx,T1 2025,20251
03065 Elche/Elx,T2 2024,20252
03065 Elche/Elx,T2 2025,20252
03066 Elda,T1 2023,20241
03066 Elda,T2 2023,20242
03066 Elda,T3 2023,20243
03066 Elda,T3 2024,20243
03066 Elda,T4 2023,20244
03066 Elda,T4 2024,20244
03066 Elda,T1 2024,20251
03066 Elda,T1 2025,20251
03066 Elda,T2 2024,20252
03066 Elda,T2 2025,20252
03079 Ibi,T1 2023,20241
03079 Ibi,T2 2023,20242
03079 Ibi,T3 2023,20243
03079 Ibi,T3 2024,20243
03079 Ibi,T4 2023,20244
03079 Ibi,T4 2024,20244
03079 Ibi,T1 2024,20251
03079 Ibi,T1 2025,20251
03079 Ibi,T2 2024,20252
03079 Ibi,T2 2025,20252
03082 Jávea/Xàbia,T1 2023,20241
03082 Jávea/Xàbia,T2 2023,20242
03082 Jávea/Xàbia,T3 2023,20243
03082 Jávea/Xàbia,T3 2024,20243
03082 Jávea/Xàbia,T4 2023,20244
03082 Jávea/Xàbia,T4 2024,20244
03082 Jávea/Xàbia,T1 2024,20251
03082 Jávea/Xàbia,T1 2025,20251
03082 Jávea/Xàbia,T2 2024,20252
03082 Jávea/Xàbia,T2 2025,20252
03090 Mutxamel,T1 2023,20241
03090 Mutxamel,T2 2023,20242
03090 Mutxamel,T3 2023,20243
03090 Mutxamel,T3 2024,20243
03090 Mutxamel,T4 2023,20244
03090 Mutxamel,T4 2024,20244
03090 Mutxamel,T1 2024,20251
03090 Mutxamel,T1 2025,20251
03090 Mutxamel,T2 2024,20252
03090 Mutxamel,T2 2025,20252
03093 Novelda,T1 2023,20241
03093 Novelda,T2 2023,20242
03093 Novelda,T3 2023,20243
03093 Novelda,T3 2024,20243
03093 Novelda,T4 2023,20244
03093 Novelda,T4 2024,20244
03093 Novelda,T1 2024,20251
03093 Novelda,T1 2025,20251
03093 Novelda,T2 2024,20252
03093 Novelda,T2 2025,20252
03099 Orihuela,T1 2023,20241
03099 Orihuela,T2 2023,20242
03099 Orihuela,T3 2023,20243
03099 Orihuela,T3 2024,20243
03099 Orihuela,T4 2023,20244
03099 Orihuela,T4 2024,20244
03099 Orihuela,T1 2024,20251
03099 Orihuela,T1 2025,20251
03099 Orihuela,T2 2024,20252
03099 Orihuela,T2 2025,20252
03104 Petrer,T1 2023,20241
03104 Petrer,T2 2023,20242
03104 Petrer,T3 2023,20243
03104 Petrer,T3 2024,20243
03104 Petrer,T4 2023,20244
03104 Petrer,T4 2024,20244
03104 Petrer,T1 2024,20251
03104 Petrer,T1 2025,20251
03104 Petrer,T2 2024,20252
03104 Petrer,T2 2025,20252
03119 Sant Joan d'Alacant,T1 2023,20241
03119 Sant Joan d'Alacant,T2 2023,20242
03119 Sant Joan d'Alacant,T3 2023,20243
03119 Sant Joan d'Alacant,T3 2024,20243
03119 Sant Joan d'Alacant,T4 2023,20244
03119 Sant Joan d'Alacant,T4 2024,20244
03119 Sant Joan d'Alacant,T1 2024,20251
03119 Sant Joan d'Alacant,T1 2025,20251
03119 Sant Joan d'Alacant,T2 2024,20252
03119 Sant Joan d'Alacant,T2 2025,20252
03121 Santa Pola,T1 2023,20241
03121 Santa Pola,T2 2023,20242
03121 Santa Pola,T3 2023,20243
03121 Santa Pola,T3 2024,20243
03121 Santa Pola,T4 2023,20244
03121 Santa Pola,T4 2024,20244
03121 Santa Pola,T1 2024,20251
03121 Santa Pola,T1 2025,20251
03121 Santa Pola,T2 2024,20252
03121 Santa Pola,T2 2025,20252
03122 San Vicente del Raspeig/Sant Vicent del Raspeig,T1 2023,20241
03122 San Vicente del Raspeig/Sant Vicent del Raspeig,T2 2023,20242
03122 San Vicente del Raspeig/Sant Vicent del Raspeig,T3 2023,20243
03122 San Vicente del Raspeig/Sant Vicent del Raspeig,T3 2024,20243
03122 San Vicente del Raspeig/Sant Vicent del Raspeig,T4 2023,20244
03122 San Vicente del Raspeig/Sant Vicent del Raspeig,T4 2024,20244
03122 San Vicente del Raspeig/Sant Vicent del Raspeig,T1 2024,20251
03122 San Vicente del Raspeig/Sant Vicent del Raspeig,T1 2025,20251
03122 San Vicente del Raspeig/Sant Vicent del Raspeig,T2 2024,20252
03122 San Vicente del Raspeig/Sant Vicent del Raspeig,T2 2025,20252
03133 Torrevieja,T1 2023,20241
03133 Torrevieja,T2 2023,20242
03133 Torrevieja,T3 2023,20243
03133 Torrevieja,T3 2024,20243
03133 Torrevieja,T4 2023,20244
03133 Torrevieja,T4 2024,20244
03133 Torrevieja,T1 2024,20251
03133 Torrevieja,T1 2025,20251
03133 Torrevieja,T2 2024,20252
03133 Torrevieja,T2 2025,20252
03139 Villajoyosa/Vila Joiosa (la),T1 2023,20241
03139 Villajoyosa/Vila Joiosa (la),T2 2023,20242
03139 Villajoyosa/Vila Joiosa (la),T3 2023,20243
03139 Villajoyosa/Vila Joiosa (la),T3 2024,20243
03139 Villajoyosa/Vila Joiosa (la),T4 2023,20244
03139 Villajoyosa/Vila Joiosa (la),T4 2024,20244
03139 Villajoyosa/Vila Joiosa (la),T1 2024,20251
03139 Villajoyosa/Vila Joiosa (la),T1 2025,20251
03139 Villajoyosa/Vila Joiosa (la),T2 2024,20252
03139 Villajoyosa/Vila Joiosa (la),T2 2025,20252
03140 Villena,T1 2023,20241
03140 Villena,T2 2023,20242
03140 Villena,T3 2023,20243
03140 Villena,T3 2024,20243
03140 Villena,T4 2023,20244
03140 Villena,T4 2024,20244
03140 Villena,T1 2024,20251
03140 Villena,T1 2025,20251
03140 Villena,T2 2024,20252
03140 Villena,T2 2025,20252
03902 Pilar de la Horadada,T1 2023,20241
03902 Pilar de la Horadada,T2 2023,20242
03902 Pilar de la Horadada,T3 2023,20243
03902 Pilar de la Horadada,T3 2024,20243
03902 Pilar de la Horadada,T4 2023,20244
03902 Pilar de la Horadada,T4 2024,20244
03902 Pilar de la Horadada,T1 2024,20251
03902 Pilar de la Horadada,T1 2025,20251
03902 Pilar de la Horadada,T2 2024,20252
03902 Pilar de la Horadada,T2 2025,20252
04003 Adra,T1 2023,20241
04003 Adra,T2 2023,20242
04003 Adra,T3 2023,20243
04003 Adra,T3 2024,20243
04003 Adra,T4 2023,20244
04003 Adra,T4 2024,20244
04003 Adra,T1 2024,20251
04003 Adra,T1 2025,20251
04003 Adra,T2 2024,20252
04003 Adra,T2 2025,20252
04013 Almería,T1 2023,20241
04013 Almería,T2 2023,20242
04013 Almería,T3 2023,20243
04013 Almería,T3 2024,20243
04013 Almería,T4 2023,20244
04013 Almería,T4 2024,20244
04013 Almería,T1 2024,20251
04013 Almería,T1 2025,20251
04013 Almería,T2 2024,20252
04013 Almería,T2 2025,20252
04053 Huércal-Overa,T1 2023,20241
04053 Huércal-Overa,T2 2023,20242
04053 Huércal-Overa,T3 2023,20243
04053 Huércal-Overa,T3 2024,20243
04053 Huércal-Overa,T4 2023,20244
04053 Huércal-Overa,T4 2024,20244
04053 Huércal-Overa,T1 2024,20251
04053 Huércal-Overa,T1 2025,20251
04053 Huércal-Overa,T2 2024,20252
04053 Huércal-Overa,T2 2025,20252
04066 Níjar,T1 2023,20241
04066 Níjar,T2 2023,20242
04066 Níjar,T3 2023,20243
04066 Níjar,T3 2024,20243
04066 Níjar,T4 2023,20244
04066 Níjar,T4 2024,20244
04066 Níjar,T1 2024,20251
04066 Níjar,T1 2025,20251
04066 Níjar,T2 2024,20252
04066 Níjar,T2 2025,20252
04079 Roquetas de Mar,T1 2023,20241
04079 Roquetas de Mar,T2 2023,20242
04079 Roquetas de Mar,T3 2023,20243
04079 Roquetas de Mar,T3 2024,20243
04079 Roquetas de Mar,T4 2023,20244
04079 Roquetas de Mar,T4 2024,20244
04079 Roquetas de Mar,T1 2024,20251
04079 Roquetas de Mar,T1 2025,20251
04079 Roquetas de Mar,T2 2024,20252
04079 Roquetas de Mar,T2 2025,20252
04102 Vícar,T1 2023,20241
04102 Vícar,T2 2023,20242
04102 Vícar,T3 2023,20243
04102 Vícar,T3 2024,20243
04102 Vícar,T4 2023,20244
04102 Vícar,T4 2024,20244
04102 Vícar,T1 2024,20251
04102 Vícar,T1 2025,20251
04102 Vícar,T2 2024,20252
04102 Vícar,T2 2025,20252
04902 Ejido (El),T1 2023,20241
04902 Ejido (El),T2 2023,20242
04902 Ejido (El),T3 2023,20243
04902 Ejido (El),T3 2024,20243
04902 Ejido (El),T4 2023,20244
04902 Ejido (El),T4 2024,20244
04902 Ejido (El),T1 2024,20251
04902 Ejido (El),T1 2025,20251
04902 Ejido (El),T2 2024,20252
04902 Ejido (El),T2 2025,20252
05019 Ávila,T1 2023,20241
05019 Ávila,T2 2023,20242
05019 Ávila,T3 2023,20243
05019 Ávila,T3 2024,20243
05019 Ávila,T4 2023,20244
05019 Ávila,T4 2024,20244
05019 Ávila,T1 2024,20251
05019 Ávila,T1 2025,20251
05019 Ávila,T2 2024,20252
05019 Ávila,T2 2025,20252
06011 Almendralejo,T1 2023,20241
06011 Almendralejo,T2 2023,20242
06011 Almendralejo,T3 2023,20243
06011 Almendralejo,T3 2024,20243
06011 Almendralejo,T4 2023,20244
06011 Almendralejo,T4 2024,20244
06011 Almendralejo,T1 2024,20251
06011 Almendralejo,T1 2025,20251
06011 Almendralejo,T2 2024,20252
06011 Almendralejo,T2 2025,20252
06015 Badajoz,T1 2023,20241
06015 Badajoz,T2 2023,20242
06015 Badajoz,T3 2023,20243
06015 Badajoz,T3 2024,20243
06015 Badajoz,T4 2023,20244
06015 Badajoz,T4 2024,20244
06015 Badajoz,T1 2024,20251
06015 Badajoz,T1 2025,20251
06015 Badajoz,T2 2024,20252
06015 Badajoz,T2 2025,20252
06044 Don Benito,T1 2023,20241
06044 Don Benito,T2 2023,20242
06044 Don Benito,T3 2023,20243
06044 Don Benito,T3 2024,20243
06044 Don Benito,T4 2023,20244
06044 Don Benito,T4 2024,20244
06044 Don Benito,T1 2024,20251
06044 Don Benito,T1 2025,20251
06044 Don Benito,T2 2024,20252
06044 Don Benito,T2 2025,20252
06083 Mérida,T1 2023,20241
06083 Mérida,T2 2023,20242
06083 Mérida,T3 2023,20243
06083 Mérida,T3 2024,20243
06083 Mérida,T4 2023,20244
06083 Mérida,T4 2024,20244
06083 Mérida,T1 2024,20251
06083 Mérida,T1 2025,20251
06083 Mérida,T2 2024,20252
06083 Mérida,T2 2025,20252
06153 Villanueva de la Serena,T1 2023,20241
06153 Villanueva de la Serena,T2 2023,20242
06153 Villanueva de la Serena,T3 2023,20243
06153 Villanueva de la Serena,T3 2024,20243
06153 Villanueva de la Serena,T4 2023,20244
06153 Villanueva de la Serena,T4 2024,20244
06153 Villanueva de la Serena,T1 2024,20251
06153 Villanueva de la Serena,T1 2025,20251
06153 Villanueva de la Serena,T2 2024,20252
06153 Villanueva de la Serena,T2 2025,20252
07003 Alcudia,T1 2023,20241
07003 Alcudia,T2 2023,20242
07003 Alcudia,T3 2023,20243
07003 Alcudia,T3 2024,20243
07003 Alcudia,T4 2023,20244
07003 Alcudia,T4 2024,20244
07003 Alcudia,T1 2024,20251
07003 Alcudia,T1 2025,20251
07003 Alcudia,T2 2024,20252
07003 Alcudia,T2 2025,20252
07011 Calvià,T1 2023,20241
07011 Calvià,T2 2023,20242
07011 Calvià,T3 2023,20243
07011 Calvià,T3 2024,20243
07011 Calvià,T4 2023,20244
07011 Calvià,T4 2024,20244
07011 Calvià,T1 2024,20251
07011 Calvià,T1 2025,20251
07011 Calvià,T2 2024,20252
07011 Calvià,T2 2025,20252
07015 Ciutadella de Menorca,T1 2023,20241
07015 Ciutadella de Menorca,T2 2023,20242
07015 Ciutadella de Menorca,T3 2023,20243
07015 Ciutadella de Menorca,T3 2024,20243
07015 Ciutadella de Menorca,T4 2023,20244
07015 Ciutadella de Menorca,T4 2024,20244
07015 Ciutadella de Menorca,T1 2024,20251
07015 Ciutadella de Menorca,T1 2025,20251
07015 Ciutadella de Menorca,T2 2024,20252
07015 Ciutadella de Menorca,T2 2025,20252
07026 Eivissa,T1 2023,20241
