CP;MUNICIPIO;POB;AÑO
50297;Zaragoza;661108;2016
50297;Zaragoza;664938;2017
50297;Zaragoza;666880;2018
50297;Zaragoza;674997;2019
50297;Zaragoza;681877;2020
50297;Zaragoza;675301;2021
50297;Zaragoza;673010;2022
50297;Zaragoza;682513;2023
50297;Zaragoza;664953;2015
50297;Zaragoza;686986;2024
49275;Zamora;63217;2016
49275;Zamora;62389;2017
49275;Zamora;61827;2018
49275;Zamora;61406;2019
49275;Zamora;60988;2020
49275;Zamora;60297;2021
49275;Zamora;59475;2022
49275;Zamora;59259;2023
49275;Zamora;63831;2015
49275;Zamora;59506;2024
48902;Erandio;24240;2016
48902;Erandio;24056;2017
48902;Erandio;24222;2018
48902;Erandio;24350;2019
48902;Erandio;24530;2020
48902;Erandio;24489;2021
48902;Erandio;24446;2022
48902;Erandio;24411;2023
48902;Erandio;24234;2015
48902;Erandio;24662;2024
48084;Sestao;27841;2016
48084;Sestao;27744;2017
48084;Sestao;27445;2018
48084;Sestao;27296;2019
48084;Sestao;27452;2020
48084;Sestao;27342;2021
48084;Sestao;27533;2022
48084;Sestao;27834;2023
48084;Sestao;28052;2015
48084;Sestao;28228;2024
48082;Santurtzi;46043;2016
48082;Santurtzi;45765;2017
48082;Santurtzi;45795;2018
48082;Santurtzi;45853;2019
48082;Santurtzi;46069;2020
48082;Santurtzi;46085;2021
48082;Santurtzi;45749;2022
48082;Santurtzi;46057;2023
48082;Santurtzi;46284;2015
48082;Santurtzi;46247;2024
48078;Portugalete;46375;2016
48078;Portugalete;46120;2017
48078;Portugalete;45826;2018
48078;Portugalete;45766;2019
48078;Portugalete;45746;2020
48078;Portugalete;45285;2021
48078;Portugalete;44800;2022
48078;Portugalete;44629;2023
48078;Portugalete;46718;2015
48078;Portugalete;44766;2024
48054;Leioa;30857;2016
48054;Leioa;31197;2017
48054;Leioa;31495;2018
48054;Leioa;31795;2019
48054;Leioa;32013;2020
48054;Leioa;32188;2021
48054;Leioa;32172;2022
48054;Leioa;32491;2023
48054;Leioa;30715;2015
48054;Leioa;32683;2024
48044;Getxo;78554;2016
48044;Getxo;78406;2017
48044;Getxo;78276;2018
48044;Getxo;77946;2019
48044;Getxo;77770;2020
48044;Getxo;77139;2021
48044;Getxo;76365;2022
48044;Getxo;76104;2023
48044;Getxo;78846;2015
48044;Getxo;75981;2024
48036;Galdakao;29315;2016
48036;Galdakao;29334;2017
48036;Galdakao;29288;2018
48036;Galdakao;29326;2019
48036;Galdakao;29427;2020
48036;Galdakao;29404;2021
48036;Galdakao;29285;2022
48036;Galdakao;29332;2023
48036;Galdakao;29344;2015
48036;Galdakao;24774;2024
48027;Durango;29031;2016
48027;Durango;29328;2017
48027;Durango;29636;2018
48027;Durango;29791;2019
48027;Durango;30118;2020
48027;Durango;29935;2021
48027;Durango;29609;2022
48027;Durango;29767;2023
48027;Durango;28899;2015
48027;Durango;29887;2024
48020;Bilbao;345122;2016
48020;Bilbao;345110;2017
48020;Bilbao;345821;2018
48020;Bilbao;346843;2019
48020;Bilbao;350184;2020
48020;Bilbao;346405;2021
48020;Bilbao;344127;2022
48020;Bilbao;346096;2023
48020;Bilbao;345141;2015
48020;Bilbao;348089;2024
48015;Basauri;40983;2016
48015;Basauri;40877;2017
48015;Basauri;40762;2018
48015;Basauri;40589;2019
48015;Basauri;40847;2020
48015;Basauri;40535;2021
48015;Basauri;40324;2022
48015;Basauri;40413;2023
48015;Basauri;41304;2015
48015;Basauri;40388;2024
48013;Barakaldo;100025;2016
48013;Barakaldo;100313;2017
48013;Barakaldo;100435;2018
48013;Barakaldo;100881;2019
48013;Barakaldo;101486;2020
48013;Barakaldo;100907;2021
48013;Barakaldo;100535;2022
