CPRO;PROVINCIA;AÑO;POB
50;Zaragoza;2015;956006
49;Zamora;2015;183436
48;Bizkia;2015;1148775
47;Valladolid;2015;526288
46;Valencia/València;2015;2543315
45;Toledo;2015;693371
44;Teruel;2015;138932
43;Tarragona;2015;795101
42;Soria;2015;91006
41;Sevilla;2015;1941480
40;Segovia;2015;157570
39;Cantabria;2015;585179
38;Santa Cruz de Tenerife;2015;1001900
37;Salamanca;2015;339395
36;Pontevedra;2015;947374
35;Palmas, Las;2015;1098406
34;Palencia;2015;166035
33;Asturias;2015;1051229
32;Ourense;2015;318391
31;Navarra;2015;640476
30;Murcia;2015;1467288
29;Málaga;2015;1628973
28;Madrid;2015;6436996
27;Lugo;2015;339386
26;Rioja, La;2015;317053
25;Lleida;2015;436029
24;León;2015;479395
23;Jaén;2015;654170
22;Huesca;2015;222909
21;Huelva;2015;520017
20;Gipuzkoa;2015;716834
19;Guadalajara;2015;253686
18;Granada;2015;917297
17;Girona;2015;753054
16;Cuenca;2015;203841
15;Coruña, A;2015;1127196
14;Córdoba;2015;795611
13;Ciudad Real;2015;513713
12;Castellón/Castelló;2015;582327
11;Cádiz;2015;1240284
10;Cáceres;2015;406267
09;Burgos;2015;364002
08;Barcelona;2015;5523922
07;Balears, Illes;2015;1104479
06;Badajoz;2015;686730
05;Ávila;2015;164925
04;Almería;2015;701211
03;Alicante/Alacant;2015;1855047
02;Albacete;2015;394580
01;Araba/Álava;2015;323648
51;Ceuta;2015;84263
52;Melilla;2015;85584
50;Zaragoza;2016;950507
49;Zamora;2016;180406
48;Bizkia;2016;1147576
47;Valladolid;2016;523679
46;Valencia/València;2016;2544264
45;Toledo;2016;688672
44;Teruel;2016;136977
43;Tarragona;2016;792299
42;Soria;2016;90040
41;Sevilla;2016;1939775
40;Segovia;2016;155652
39;Cantabria;2016;582206
38;Santa Cruz de Tenerife;2016;1004124
37;Salamanca;2016;335985
36;Pontevedra;2016;944346
35;Palmas, Las;2016;1097800
34;Palencia;2016;164644
33;Asturias;2016;1042608
32;Ourense;2016;314853
31;Navarra;2016;640647
30;Murcia;2016;1464847
29;Málaga;2016;1629298
28;Madrid;2016;6466996
27;Lugo;2016;336527
26;Rioja, La;2016;315794
25;Lleida;2016;434041
24;León;2016;473604
23;Jaén;2016;648250
22;Huesca;2016;221079
21;Huelva;2016;519596
20;Gipuzkoa;2016;717832
19;Guadalajara;2016;252882
18;Granada;2016;915392
17;Girona;2016;753576
16;Cuenca;2016;201071
15;Coruña, A;2016;1122799
14;Córdoba;2016;791610
13;Ciudad Real;2016;506888
