Municipios,Sexo,Periodo,Total,cod_mun,nombre_mun
08001 Abrera,Total,2024,13014.0,08001,Abrera
08002 Aguilar de Segarra,Total,2024,291.0,08002,Aguilar de Segarra
08014 Aiguafreda,Total,2024,2576.0,08014,Aiguafreda
08003 Alella,Total,2024,10217.0,08003,Alella
08004 Alpens,Total,2024,270.0,08004,Alpens
"08005 Ametlla del Vallès, L'",Total,2024,9462.0,08005,"Ametlla del Vallès, L'"
08006 Arenys de Mar,Total,2024,16642.0,08006,Arenys de Mar
08007 Arenys de Munt,Total,2024,9458.0,08007,Arenys de Munt
08009 Argentona,Total,2024,12844.0,08009,Argentona
08008 Argençola,Total,2024,237.0,08008,Argençola
08010 Artés,Total,2024,6084.0,08010,Artés
08013 Avinyonet del Penedès,Total,2024,1744.0,08013,Avinyonet del Penedès
08012 Avinyó,Total,2024,2313.0,08012,Avinyó
08011 Avià,Total,2024,2243.0,08011,Avià
08015 Badalona,Total,2024,227083.0,08015,Badalona
08904 Badia del Vallès,Total,2024,13118.0,08904,Badia del Vallès
08016 Bagà,Total,2024,2182.0,08016,Bagà
08017 Balenyà,Total,2024,4036.0,08017,Balenyà
08018 Balsareny,Total,2024,3328.0,08018,Balsareny
08252 Barberà del Vallès,Total,2024,33575.0,08252,Barberà del Vallès
08019 Barcelona,Total,2024,1702547.0,08019,Barcelona
08 Barcelona,Total,2024,5899063.0,,08 Barcelona
08020 Begues,Total,2024,7462.0,08020,Begues
08021 Bellprat,Total,2024,69.0,08021,Bellprat
08022 Berga,Total,2024,17160.0,08022,Berga
08023 Bigues i Riells del Fai,Total,2024,10036.0,08023,Bigues i Riells del Fai
08024 Borredà,Total,2024,419.0,08024,Borredà
"08025 Bruc, El",Total,2024,2288.0,08025,"Bruc, El"
"08026 Brull, El",Total,2024,293.0,08026,"Brull, El"
"08027 Cabanyes, Les",Total,2024,1012.0,08027,"Cabanyes, Les"
08028 Cabrera d'Anoia,Total,2024,1709.0,08028,Cabrera d'Anoia
08029 Cabrera de Mar,Total,2024,5018.0,08029,Cabrera de Mar
08030 Cabrils,Total,2024,7767.0,08030,Cabrils
08031 Calaf,Total,2024,3618.0,08031,Calaf
08034 Calders,Total,2024,1114.0,08034,Calders
08032 Caldes d'Estrac,Total,2024,3259.0,08032,Caldes d'Estrac
08033 Caldes de Montbui,Total,2024,18336.0,08033,Caldes de Montbui
08035 Calella,Total,2024,20369.0,08035,Calella
08037 Calldetenes,Total,2024,2690.0,08037,Calldetenes
08038 Callús,Total,2024,2145.0,08038,Callús
08036 Calonge de Segarra,Total,2024,174.0,08036,Calonge de Segarra
08039 Campins,Total,2024,606.0,08039,Campins
08040 Canet de Mar,Total,2024,15140.0,08040,Canet de Mar
08041 Canovelles,Total,2024,17312.0,08041,Canovelles
08043 Canyelles,Total,2024,5367.0,08043,Canyelles
08044 Capellades,Total,2024,5567.0,08044,Capellades
08045 Capolat,Total,2024,92.0,08045,Capolat
08046 Cardedeu,Total,2024,19064.0,08046,Cardedeu
08047 Cardona,Total,2024,4574.0,08047,Cardona
08048 Carme,Total,2024,814.0,08048,Carme
08049 Casserres,Total,2024,1676.0,08049,Casserres
08057 Castell de l'Areny,Total,2024,69.0,08057,Castell de l'Areny
08052 Castellar de n'Hug,Total,2024,164.0,08052,Castellar de n'Hug
08050 Castellar del Riu,Total,2024,163.0,08050,Castellar del Riu
08051 Castellar del Vallès,Total,2024,25322.0,08051,Castellar del Vallès
08053 Castellbell i el Vilar,Total,2024,4138.0,08053,Castellbell i el Vilar
08054 Castellbisbal,Total,2024,12972.0,08054,Castellbisbal
08055 Castellcir,Total,2024,784.0,08055,Castellcir
08056 Castelldefels,Total,2024,69450.0,08056,Castelldefels
08058 Castellet i la Gornal,Total,2024,2674.0,08058,Castellet i la Gornal
08060 Castellfollit de Riubregós,Total,2024,151.0,08060,Castellfollit de Riubregós
08059 Castellfollit del Boix,Total,2024,459.0,08059,Castellfollit del Boix
08061 Castellgalí,Total,2024,2347.0,08061,Castellgalí
08062 Castellnou de Bages,Total,2024,1430.0,08062,Castellnou de Bages
08063 Castellolí,Total,2024,658.0,08063,Castellolí
08064 Castellterçol,Total,2024,2773.0,08064,Castellterçol
08066 Castellví de Rosanes,Total,2024,2106.0,08066,Castellví de Rosanes
08065 Castellví de la Marca,Total,2024,1716.0,08065,Castellví de la Marca
08067 Centelles,Total,2024,7775.0,08067,Centelles
08268 Cercs,Total,2024,1193.0,08268,Cercs
08266 Cerdanyola del Vallès,Total,2024,58100.0,08266,Cerdanyola del Vallès
08068 Cervelló,Total,2024,9647.0,08068,Cervelló
08069 Collbató,Total,2024,4849.0,08069,Collbató
08070 Collsuspina,Total,2024,389.0,08070,Collsuspina
08071 Copons,Total,2024,351.0,08071,Copons
08072 Corbera de Llobregat,Total,2024,15726.0,08072,Corbera de Llobregat
08073 Cornellà de Llobregat,Total,2024,91589.0,08073,Cornellà de Llobregat
08074 Cubelles,Total,2024,17243.0,08074,Cubelles
08042 Cànoves i Samalús,Total,2024,3315.0,08042,Cànoves i Samalús
08075 Dosrius,Total,2024,6142.0,08075,Dosrius
08076 Esparreguera,Total,2024,22550.0,08076,Esparreguera
08077 Esplugues de Llobregat,Total,2024,47613.0,08077,Esplugues de Llobregat
"08078 Espunyola, L'",Total,2024,262.0,08078,"Espunyola, L'"
"08254 Esquirol, L'",Total,2024,2277.0,08254,"Esquirol, L'"
"08079 Estany, L'",Total,2024,401.0,08079,"Estany, L'"
08134 Figaró-Montmany,Total,2024,1188.0,08134,Figaró-Montmany
08081 Fogars de Montclús,Total,2024,502.0,08081,Fogars de Montclús
08082 Fogars de la Selva,Total,2024,1680.0,08082,Fogars de la Selva
08083 Folgueroles,Total,2024,2263.0,08083,Folgueroles
08084 Fonollosa,Total,2024,1585.0,08084,Fonollosa
08085 Font-rubí,Total,2024,1446.0,08085,Font-rubí
"08086 Franqueses del Vallès, Les",Total,2024,20715.0,08086,"Franqueses del Vallès, Les"
08080 Fígols,Total,2024,41.0,08080,Fígols
08090 Gaià,Total,2024,178.0,08090,Gaià
08087 Gallifa,Total,2024,172.0,08087,Gallifa
"08088 Garriga, La",Total,2024,17305.0,08088,"Garriga, La"
08089 Gavà,Total,2024,48007.0,08089,Gavà
08091 Gelida,Total,2024,8098.0,08091,Gelida
08092 Gironella,Total,2024,5055.0,08092,Gironella
08093 Gisclareny,Total,2024,30.0,08093,Gisclareny
"08094 Granada, La",Total,2024,2263.0,08094,"Granada, La"
08095 Granera,Total,2024,84.0,08095,Granera
08096 Granollers,Total,2024,64181.0,08096,Granollers
08097 Gualba,Total,2024,1738.0,08097,Gualba
08099 Guardiola de Berguedà,Total,2024,953.0,08099,Guardiola de Berguedà
08100 Gurb,Total,2024,2712.0,08100,Gurb
"08101 Hospitalet de Llobregat, L'",Total,2024,279993.0,08101,"Hospitalet de Llobregat, L'"
"08162 Hostalets de Pierola, Els",Total,2024,3231.0,08162,"Hostalets de Pierola, Els"
08102 Igualada,Total,2024,41466.0,08102,Igualada
08103 Jorba,Total,2024,827.0,08103,Jorba
"08104 Llacuna, La",Total,2024,982.0,08104,"Llacuna, La"
"08105 Llagosta, La",Total,2024,13085.0,08105,"Llagosta, La"
08106 Llinars del Vallès,Total,2024,10740.0,08106,Llinars del Vallès
08107 Lliçà d'Amunt,Total,2024,16253.0,08107,Lliçà d'Amunt
08108 Lliçà de Vall,Total,2024,6861.0,08108,Lliçà de Vall
08109 Lluçà,Total,2024,288.0,08109,Lluçà
08110 Malgrat de Mar,Total,2024,19377.0,08110,Malgrat de Mar
08111 Malla,Total,2024,272.0,08111,Malla
08112 Manlleu,Total,2024,21348.0,08112,Manlleu
08113 Manresa,Total,2024,80201.0,08113,Manresa
08242 Marganell,Total,2024,308.0,08242,Marganell
08114 Martorell,Total,2024,28507.0,08114,Martorell
08115 Martorelles,Total,2024,4987.0,08115,Martorelles
"08116 Masies de Roda, Les",Total,2024,750.0,08116,"Masies de Roda, Les"
"08117 Masies de Voltregà, Les",Total,2024,3292.0,08117,"Masies de Voltregà, Les"
"08118 Masnou, El",Total,2024,24479.0,08118,"Masnou, El"
08119 Masquefa,Total,2024,10038.0,08119,Masquefa
08120 Matadepera,Total,2024,9815.0,08120,Matadepera
08121 Mataró,Total,2024,131798.0,08121,Mataró
08122 Mediona,Total,2024,2637.0,08122,Mediona
08138 Moià,Total,2024,6738.0,08138,Moià
08123 Molins de Rei,Total,2024,26948.0,08123,Molins de Rei
08124 Mollet del Vallès,Total,2024,52283.0,08124,Mollet del Vallès
08128 Monistrol de Calders,Total,2024,761.0,08128,Monistrol de Calders
08127 Monistrol de Montserrat,Total,2024,3198.0,08127,Monistrol de Montserrat
08125 Montcada i Reixac,Total,2024,37153.0,08125,Montcada i Reixac
08130 Montclar,Total,2024,132.0,08130,Montclar
08131 Montesquiu,Total,2024,1099.0,08131,Montesquiu
08126 Montgat,Total,2024,12625.0,08126,Montgat
08132 Montmajor,Total,2024,472.0,08132,Montmajor
08133 Montmaneu,Total,2024,200.0,08133,Montmaneu
08135 Montmeló,Total,2024,8906.0,08135,Montmeló
08136 Montornès del Vallès,Total,2024,17089.0,08136,Montornès del Vallès
08137 Montseny,Total,2024,380.0,08137,Montseny
08129 Muntanyola,Total,2024,712.0,08129,Muntanyola
08139 Mura,Total,2024,232.0,08139,Mura
08140 Navarcles,Total,2024,6160.0,08140,Navarcles
08141 Navàs,Total,2024,6185.0,08141,Navàs
"08142 Nou de Berguedà, La",Total,2024,163.0,08142,"Nou de Berguedà, La"
08146 Olesa de Bonesvalls,Total,2024,2093.0,08146,Olesa de Bonesvalls
08147 Olesa de Montserrat,Total,2024,24677.0,08147,Olesa de Montserrat
08148 Olivella,Total,2024,4419.0,08148,Olivella
08149 Olost,Total,2024,1216.0,08149,Olost
08144 Olvan,Total,2024,913.0,08144,Olvan
08145 Olèrdola,Total,2024,3946.0,08145,Olèrdola
08151 Oristà,Total,2024,569.0,08151,Oristà
08152 Orpí,Total,2024,178.0,08152,Orpí
