PROVINCIA;municipios;POB24;cod_mun
Araba/Álava;Alegría-Dulantzi;2971;01001
Araba/Álava;Amurrio;10330;01002
Araba/Álava;Aramaio;1381;01003
Araba/Álava;Artziniega;1856;01004
Araba/Álava;Armiñón;247;01006
Araba/Álava;Arratzua-Ubarrundia;1047;01008
Araba/Álava;Asparrena;1611;01009
Araba/Álava;Ayala/Aiara;2942;01010
Araba/Álava;Baños de Ebro/Mañueta;291;01011
Araba/Álava;Barrundia;879;01013
Araba/Álava;Berantevilla;459;01014
Araba/Álava;Bernedo;546;01016
Araba/Álava;Campezo/Kanpezu;1085;01017
Araba/Álava;Zigoitia;1844;01018
Araba/Álava;Kripan;178;01019
Araba/Álava;Kuartango;408;01020
Araba/Álava;Elburgo/Burgelu;642;01021
Araba/Álava;Elciego;955;01022
Araba/Álava;Elvillar/Bilar;319;01023
Araba/Álava;Iruraiz-Gauna;553;01027
Araba/Álava;Labastida/Bastida;1565;01028
Araba/Álava;Lagrán;170;01030
Araba/Álava;Laguardia;1478;01031
Araba/Álava;Lanciego/Lantziego;685;01032
Araba/Álava;Lapuebla de Labarca;859;01033
Araba/Álava;Leza;210;01034
Araba/Álava;Laudio/Llodio;17982;01036
Araba/Álava;Arraia-Maeztu;822;01037
Araba/Álava;Moreda de Álava/Moreda Araba;215;01039
Araba/Álava;Navaridas;191;01041
Araba/Álava;Okondo;1194;01042
Araba/Álava;Oyón-Oion;3413;01043
Araba/Álava;Peñacerrada-Urizaharra;302;01044
Araba/Álava;Erriberagoitia/Ribera Alta;845;01046
Araba/Álava;Ribera Baja/Erriberabeitia;1439;01047
Araba/Álava;Añana;142;01049
Araba/Álava;Agurain/Salvatierra;5155;01051
Araba/Álava;Samaniego;290;01052
Araba/Álava;San Millán/Donemiliaga;720;01053
Araba/Álava;Urkabustaiz;1462;01054
Araba/Álava;Valdegovía/Gaubea;1072;01055
Araba/Álava;Harana/Valle de Arana;214;01056
Araba/Álava;Villabuena de Álava/Eskuernaga;290;01057
Araba/Álava;Legutio;2086;01058
Araba/Álava;Vitoria-Gasteiz;257968;01059
Araba/Álava;Yécora/Iekora;265;01060
Araba/Álava;Zalduondo;194;01061
Araba/Álava;Zambrana;442;01062
Araba/Álava;Zuia;2372;01063
Araba/Álava;Iruña Oka/Iruña de Oca;3625;01901
Araba/Álava;Lantarón;926;01902
Albacete;Abengibre;759;02001
Albacete;Alatoz;497;02002
Albacete;Albacete;174137;02003
Albacete;Albatana;663;02004
Albacete;Alborea;676;02005
Albacete;Alcadozo;641;02006
Albacete;Alcalá del Júcar;1117;02007
Albacete;Alcaraz;1304;02008
Albacete;Almansa;24281;02009
Albacete;Alpera;2260;02010
Albacete;Ayna;608;02011
Albacete;Balazote;2379;02012
Albacete;Balsa de Ves;124;02013
Albacete;Ballestero, El;413;02014
Albacete;Barrax;1864;02015
Albacete;Bienservida;552;02016
Albacete;Bogarra;748;02017
Albacete;Bonete;970;02018
Albacete;Bonillo, El;2624;02019
Albacete;Carcelén;487;02020
Albacete;Casas de Juan Núñez;1361;02021
Albacete;Casas de Lázaro;311;02022
Albacete;Casas de Ves;548;02023
Albacete;Casas-Ibáñez;4591;02024
Albacete;Caudete;10249;02025
Albacete;Cenizate;1160;02026
