PROVINCIA;NOMBRE;POB;AÑO;cod_mun
Albacete;Abengibre;761;2016;02001
Albacete;Alatoz;582;2016;02002
Albacete;Albacete;172426;2016;02003
Albacete;Albatana;714;2016;02004
Albacete;Alborea;710;2016;02005
Albacete;Alcadozo;688;2016;02006
Albacete;Alcalá del Júcar;1217;2016;02007
Albacete;Alcaraz;1463;2016;02008
Albacete;Almansa;24800;2016;02009
Albacete;Alpera;2289;2016;02010
Albacete;Ayna;690;2016;02011
Albacete;Balazote;2346;2016;02012
Albacete;Ballestero, El;427;2016;02014
Albacete;Balsa de Ves;155;2016;02013
Albacete;Barrax;1903;2016;02015
Albacete;Bienservida;634;2016;02016
Albacete;Bogarra;920;2016;02017
Albacete;Bonete;1123;2016;02018
Albacete;Bonillo, El;2889;2016;02019
Albacete;Carcelén;518;2016;02020
Albacete;Casas de Juan Núñez;1318;2016;02021
Albacete;Casas de Lázaro;380;2016;02022
Albacete;Casas de Ves;654;2016;02023
Albacete;Casas-Ibáñez;4555;2016;02024
Albacete;Caudete;10115;2016;02025
Albacete;Cenizate;1204;2016;02026
Albacete;Chinchilla de Monte-Aragón;4172;2016;02029
Albacete;Corral-Rubio;351;2016;02027
Albacete;Cotillas;139;2016;02028
Albacete;Elche de la Sierra;3711;2016;02030
Albacete;Férez;696;2016;02031
Albacete;Fuensanta;310;2016;02032
Albacete;Fuente-Álamo;2574;2016;02033
Albacete;Fuentealbilla;1876;2016;02034
Albacete;Gineta, La;2509;2016;02035
Albacete;Golosalvo;111;2016;02036
Albacete;Hellín;30419;2016;02037
Albacete;Herrera, La;340;2016;02038
Albacete;Higueruela;1222;2016;02039
Albacete;Hoya-Gonzalo;666;2016;02040
Albacete;Jorquera;377;2016;02041
Albacete;Letur;973;2016;02042
Albacete;Lezuza;1458;2016;02043
Albacete;Liétor;1279;2016;02044
Albacete;Madrigueras;4671;2016;02045
Albacete;Mahora;1355;2016;02046
Albacete;Masegoso;121;2016;02047
Albacete;Minaya;1543;2016;02048
Albacete;Molinicos;893;2016;02049
Albacete;Montalvos;108;2016;02050
Albacete;Montealegre del Castillo;2092;2016;02051
Albacete;Motilleja;550;2016;02052
Albacete;Munera;3627;2016;02053
Albacete;Navas de Jorquera;525;2016;02054
Albacete;Nerpio;1311;2016;02055
Albacete;Ontur;2111;2016;02056
Albacete;Ossa de Montiel;2422;2016;02057
Albacete;Paterna del Madera;375;2016;02058
Albacete;Peñas de San Pedro;1428;2016;02060
Albacete;Peñascosa;333;2016;02059
Albacete;Pétrola;713;2016;02061
Albacete;Povedilla;463;2016;02062
Albacete;Pozo Cañada;2800;2016;02901
Albacete;Pozohondo;1698;2016;02063
Albacete;Pozo-Lorente;409;2016;02064
Albacete;Pozuelo;531;2016;02065
Albacete;Recueja, La;279;2016;02066
Albacete;Riópar;1410;2016;02067
Albacete;Robledo;390;2016;02068
Albacete;Roda, La;15748;2016;02069
Albacete;Salobre;523;2016;02070
Albacete;San Pedro;1232;2016;02071
Albacete;Socovos;1819;2016;02072
Albacete;Tarazona de la Mancha;6460;2016;02073
Albacete;Tobarra;7822;2016;02074
Albacete;Valdeganga;1976;2016;02075
Albacete;Vianos;368;2016;02076
Albacete;Villa de Ves;63;2016;02077
Albacete;Villalgordo del Júcar;1128;2016;02078
Albacete;Villamalea;4082;2016;02079
Albacete;Villapalacios;628;2016;02080
Albacete;Villarrobledo;25589;2016;02081
Albacete;Villatoya;110;2016;02082
Albacete;Villavaliente;234;2016;02083
Albacete;Villaverde de Guadalimar;359;2016;02084
Albacete;Viveros;337;2016;02085
Albacete;Yeste;2818;2016;02086
Alicante/Alacant;Agost;4729;2016;03002
Alicante/Alacant;Agres;565;2016;03003
Alicante/Alacant;Aigües;921;2016;03004
Alicante/Alacant;Albatera;11756;2016;03005
Alicante/Alacant;Alcalalí;1291;2016;03006
Alicante/Alacant;Alcocer de Planes;221;2016;03007
Alicante/Alacant;Alcoleja;194;2016;03008
Alicante/Alacant;Alcoy/Alcoi;59198;2016;03009
Alicante/Alacant;Alfafara;399;2016;03010
Alicante/Alacant;Alfàs del Pi, l';21494;2016;03011
Alicante/Alacant;Algorfa;3222;2016;03012
Alicante/Alacant;Algueña;1391;2016;03013
Alicante/Alacant;Alicante/Alacant;330525;2016;03014
Alicante/Alacant;Almoradí;20138;2016;03015
Alicante/Alacant;Almudaina;119;2016;03016
Alicante/Alacant;Alqueria d'Asnar, l';517;2016;03017
Alicante/Alacant;Altea;21739;2016;03018
Alicante/Alacant;Aspe;20482;2016;03019
Alicante/Alacant;Atzúbia, l';689;2016;03001
Alicante/Alacant;Balones;129;2016;03020
Alicante/Alacant;Banyeres de Mariola;7108;2016;03021
Alicante/Alacant;Benasau;158;2016;03022
Alicante/Alacant;Beneixama;1712;2016;03023
Alicante/Alacant;Benejúzar;5364;2016;03024
Alicante/Alacant;Benferri;1920;2016;03025
Alicante/Alacant;Beniarbeig;1917;2016;03026
Alicante/Alacant;Beniardá;202;2016;03027
Alicante/Alacant;Beniarrés;1164;2016;03028
Alicante/Alacant;Benidoleig;1117;2016;03030
Alicante/Alacant;Benidorm;66642;2016;03031
Alicante/Alacant;Benifallim;114;2016;03032
Alicante/Alacant;Benifato;158;2016;03033
Alicante/Alacant;Benigembla;419;2016;03029
Alicante/Alacant;Benijófar;3163;2016;03034
Alicante/Alacant;Benilloba;769;2016;03035
Alicante/Alacant;Benillup;100;2016;03036
Alicante/Alacant;Benimantell;494;2016;03037
Alicante/Alacant;Benimarfull;427;2016;03038
Alicante/Alacant;Benimassot;99;2016;03039
Alicante/Alacant;Benimeli;384;2016;03040
Alicante/Alacant;Benissa;11000;2016;03041
Alicante/Alacant;Benitachell/Poble Nou de Benitatxell, el;4104;2016;03042
Alicante/Alacant;Biar;3647;2016;03043
Alicante/Alacant;Bigastro;6724;2016;03044
Alicante/Alacant;Bolulla;412;2016;03045
Alicante/Alacant;Busot;2975;2016;03046
Alicante/Alacant;Callosa de Segura;18497;2016;03049
Alicante/Alacant;Callosa d'en Sarrià;7146;2016;03048
Alicante/Alacant;Calp;19591;2016;03047
Alicante/Alacant;Campello, el;27384;2016;03050
Alicante/Alacant;Campo de Mirra/Camp de Mirra, el;440;2016;03051
Alicante/Alacant;Cañada;1245;2016;03052
Alicante/Alacant;Castalla;9859;2016;03053
Alicante/Alacant;Castell de Castells;449;2016;03054
Alicante/Alacant;Castell de Guadalest, el;220;2016;03075
Alicante/Alacant;Catral;8551;2016;03055
Alicante/Alacant;Cocentaina;11432;2016;03056
Alicante/Alacant;Confrides;207;2016;03057
Alicante/Alacant;Cox;7193;2016;03058
Alicante/Alacant;Crevillent;28691;2016;03059
Alicante/Alacant;Daya Nueva;1750;2016;03061
Alicante/Alacant;Daya Vieja;672;2016;03062
Alicante/Alacant;Dénia;41465;2016;03063
Alicante/Alacant;Dolores;7264;2016;03064
Alicante/Alacant;Elche/Elx;227659;2016;03065
Alicante/Alacant;Elda;52745;2016;03066
Alicante/Alacant;Facheca;107;2016;03067
Alicante/Alacant;Famorca;58;2016;03068
Alicante/Alacant;Finestrat;6090;2016;03069
Alicante/Alacant;Fondó de les Neus, el/Hondón de las Nieves;2493;2016;03077
Alicante/Alacant;Formentera del Segura;3995;2016;03070
Alicante/Alacant;Gaianes;452;2016;03072
Alicante/Alacant;Gata de Gorgos;5825;2016;03071
Alicante/Alacant;Gorga;267;2016;03073
Alicante/Alacant;Granja de Rocamora;2461;2016;03074
Alicante/Alacant;Guardamar del Segura;15386;2016;03076
Alicante/Alacant;Hondón de los Frailes;1165;2016;03078
Alicante/Alacant;Ibi;23365;2016;03079
Alicante/Alacant;Jacarilla;1939;2016;03080
Alicante/Alacant;Jávea/Xàbia;27225;2016;03082
Alicante/Alacant;Jijona/Xixona;7057;2016;03083
Alicante/Alacant;Llíber;1110;2016;03085
Alicante/Alacant;Lorcha/Orxa, l';627;2016;03084
Alicante/Alacant;Millena;221;2016;03086
Alicante/Alacant;Monforte del Cid;7500;2016;03088
Alicante/Alacant;Monóvar/Monòver;12272;2016;03089
Alicante/Alacant;Montesinos, Los;4912;2016;03903
Alicante/Alacant;Murla;486;2016;03091
Alicante/Alacant;Muro de Alcoy;9307;2016;03092
Alicante/Alacant;Mutxamel;24487;2016;03090
Alicante/Alacant;Novelda;26054;2016;03093
Alicante/Alacant;Nucia, la;19967;2016;03094
Alicante/Alacant;Ondara;6647;2016;03095
Alicante/Alacant;Onil;7494;2016;03096
Alicante/Alacant;Orba;2085;2016;03097
Alicante/Alacant;Orihuela;80359;2016;03099
Alicante/Alacant;Orxeta;778;2016;03098
Alicante/Alacant;Parcent;985;2016;03100
Alicante/Alacant;Pedreguer;7431;2016;03101
Alicante/Alacant;Pego;10158;2016;03102
Alicante/Alacant;Penàguila;328;2016;03103
Alicante/Alacant;Petrer;34533;2016;03104
Alicante/Alacant;Pilar de la Horadada;21348;2016;03902
Alicante/Alacant;Pinós, el/Pinoso;7627;2016;03105
Alicante/Alacant;Planes;725;2016;03106
Alicante/Alacant;Poblets, els;3246;2016;03901
Alicante/Alacant;Polop;4549;2016;03107
Alicante/Alacant;Quatretondeta;113;2016;03060
Alicante/Alacant;Rafal;4218;2016;03109
Alicante/Alacant;Ràfol d'Almúnia, el;630;2016;03110
Alicante/Alacant;Redován;7765;2016;03111
Alicante/Alacant;Relleu;1258;2016;03112
Alicante/Alacant;Rojales;17622;2016;03113
Alicante/Alacant;Romana, la;2411;2016;03114
Alicante/Alacant;Sagra;414;2016;03115
Alicante/Alacant;Salinas;1569;2016;03116
Alicante/Alacant;San Fulgencio;7384;2016;03118
Alicante/Alacant;San Isidro;1915;2016;03904
Alicante/Alacant;San Miguel de Salinas;6193;2016;03120
Alicante/Alacant;San Vicente del Raspeig/Sant Vicent del Raspeig;56715;2016;03122
Alicante/Alacant;Sanet y Negrals;649;2016;03117
Alicante/Alacant;Sant Joan d'Alacant;22897;2016;03119
Alicante/Alacant;Santa Pola;31309;2016;03121
Alicante/Alacant;Sax;9700;2016;03123
Alicante/Alacant;Sella;584;2016;03124
Alicante/Alacant;Senija;577;2016;03125
Alicante/Alacant;Tàrbena;636;2016;03127
Alicante/Alacant;Teulada;10654;2016;03128
Alicante/Alacant;Tibi;1634;2016;03129
Alicante/Alacant;Tollos;53;2016;03130
Alicante/Alacant;Tormos;323;2016;03131
Alicante/Alacant;Torremanzanas/Torre de les Maçanes, la;727;2016;03132
Alicante/Alacant;Torrevieja;84213;2016;03133
Alicante/Alacant;Vall d'Alcalà, la;171;2016;03134
Alicante/Alacant;Vall de Gallinera;582;2016;03136
Alicante/Alacant;Vall de Laguar, la;801;2016;03137
Alicante/Alacant;Vall d'Ebo, la;243;2016;03135
Alicante/Alacant;Verger, el;4515;2016;03138
Alicante/Alacant;Villajoyosa/Vila Joiosa, la;33580;2016;03139
Alicante/Alacant;Villena;34163;2016;03140
Alicante/Alacant;Xaló;2648;2016;03081
Almería;Abla;1294;2016;04001
Almería;Abrucena;1208;2016;04002
Almería;Adra;24713;2016;04003
Almería;Albánchez;796;2016;04004
Almería;Alboloduy;613;2016;04005
Almería;Albox;11144;2016;04006
Almería;Alcolea;815;2016;04007
Almería;Alcóntar;572;2016;04008
Almería;Alcudia de Monteagud;158;2016;04009
Almería;Alhabia;677;2016;04010
Almería;Alhama de Almería;3687;2016;04011
Almería;Alicún;217;2016;04012
Almería;Almería;194515;2016;04013
Almería;Almócita;172;2016;04014
Almería;Alsodux;134;2016;04015
Almería;Antas;3159;2016;04016
Almería;Arboleas;4538;2016;04017
Almería;Armuña de Almanzora;326;2016;04018
Almería;Bacares;272;2016;04019
Almería;Balanegra;2678;2016;04904
Almería;Bayárcal;323;2016;04020
Almería;Bayarque;220;2016;04021
Almería;Bédar;885;2016;04022
Almería;Beires;114;2016;04023
Almería;Benahadux;4185;2016;04024
Almería;Benitagla;69;2016;04026
Almería;Benizalón;280;2016;04027
Almería;Bentarique;252;2016;04028
Almería;Berja;12380;2016;04029
Almería;Canjáyar;1279;2016;04030
Almería;Cantoria;3371;2016;04031
Almería;Carboneras;7818;2016;04032
Almería;Castro de Filabres;139;2016;04033
Almería;Chercos;267;2016;04036
Almería;Chirivel;1601;2016;04037
Almería;Cóbdar;169;2016;04034
Almería;Cuevas del Almanzora;13362;2016;04035
Almería;Dalías;3978;2016;04038
Almería;Ejido, El;88752;2016;04902
Almería;Enix;433;2016;04041
Almería;Felix;658;2016;04043
Almería;Fines;2079;2016;04044
Almería;Fiñana;2070;2016;04045
Almería;Fondón;1017;2016;04046
Almería;Gádor;3030;2016;04047
Almería;Gallardos, Los;2867;2016;04048
Almería;Garrucha;8655;2016;04049
Almería;Gérgal;1037;2016;04050
Almería;Huécija;513;2016;04051
Almería;Huércal de Almería;17068;2016;04052
Almería;Huércal-Overa;18589;2016;04053
Almería;Illar;386;2016;04054
Almería;Instinción;444;2016;04055
Almería;Laroya;176;2016;04056
Almería;Láujar de Andarax;1551;2016;04057
Almería;Líjar;411;2016;04058
Almería;Lubrín;1484;2016;04059
Almería;Lucainena de las Torres;569;2016;04060
Almería;Lúcar;754;2016;04061
Almería;Macael;5628;2016;04062
Almería;María;1294;2016;04063
Almería;Mojácar;6490;2016;04064
Almería;Mojonera, La;8740;2016;04903
Almería;Nacimiento;483;2016;04065
Almería;Níjar;28579;2016;04066
Almería;Ohanes;651;2016;04067
Almería;Olula de Castro;194;2016;04068
Almería;Olula del Río;6216;2016;04069
Almería;Oria;2330;2016;04070
Almería;Padules;449;2016;04071
Almería;Partaloa;915;2016;04072
Almería;Paterna del Río;372;2016;04073
Almería;Pechina;3900;2016;04074
Almería;Pulpí;8909;2016;04075
Almería;Purchena;1638;2016;04076
Almería;Rágol;316;2016;04077
Almería;Rioja;1356;2016;04078
Almería;Roquetas de Mar;91965;2016;04079
Almería;Santa Cruz de Marchena;241;2016;04080
Almería;Santa Fe de Mondújar;431;2016;04081
Almería;Senés;322;2016;04082
Almería;Serón;2135;2016;04083
Almería;Sierro;401;2016;04084
Almería;Somontín;477;2016;04085
Almería;Sorbas;2541;2016;04086
Almería;Suflí;235;2016;04087
Almería;Tabernas;3654;2016;04088
Almería;Taberno;972;2016;04089
Almería;Tahal;362;2016;04090
Almería;Terque;395;2016;04091
Almería;Tíjola;3676;2016;04092
Almería;Tres Villas, Las;625;2016;04901
Almería;Turre;3351;2016;04093
Almería;Turrillas;238;2016;04094
Almería;Uleila del Campo;871;2016;04095
Almería;Urrácal;327;2016;04096
Almería;Velefique;256;2016;04097
Almería;Vélez-Blanco;1984;2016;04098
Almería;Vélez-Rubio;6692;2016;04099
Almería;Vera;15168;2016;04100
Almería;Viator;5699;2016;04101
Almería;Vícar;24957;2016;04102
Almería;Zurgena;2939;2016;04103
Araba/Álava;Alegría-Dulantzi;2856;2016;01001
Araba/Álava;Amurrio;10260;2016;01002
Araba/Álava;Añana;159;2016;01049
Araba/Álava;Aramaio;1502;2016;01003
Araba/Álava;Armiñón;234;2016;01006
Araba/Álava;Arraia-Maeztu;722;2016;01037
Araba/Álava;Arratzua-Ubarrundia;979;2016;01008
Araba/Álava;Artziniega;1840;2016;01004
Araba/Álava;Asparrena;1630;2016;01009
Araba/Álava;Ayala/Aiara;2946;2016;01010
Araba/Álava;Baños de Ebro/Mañueta;308;2016;01011
Araba/Álava;Barrundia;903;2016;01013
Araba/Álava;Berantevilla;449;2016;01014
Araba/Álava;Bernedo;499;2016;01016
Araba/Álava;Campezo/Kanpezu;1059;2016;01017
Araba/Álava;Elburgo/Burgelu;612;2016;01021
Araba/Álava;Elciego;1005;2016;01022
Araba/Álava;Elvillar/Bilar;355;2016;01023
Araba/Álava;Erriberagoitia/Ribera Alta;745;2016;01046
Araba/Álava;Harana/Valle de Arana;237;2016;01056
