geo,año,provincia,municipio_poblacion,poblacion_2024,codigo_postal,total_infracciones,tasa_criminalidad_x1000
01059 Vitoria-Gasteiz,2015,Araba/Álava,Vitoria-Gasteiz,257968.0,1059.0,14706.0,57.00707064442101
01059 Vitoria-Gasteiz,2016,Araba/Álava,Vitoria-Gasteiz,257968.0,1059.0,27752.0,107.57923463375302
01059 Vitoria-Gasteiz,2017,Araba/Álava,Vitoria-Gasteiz,257968.0,1059.0,13800.0,53.49500713266762
01059 Vitoria-Gasteiz,2018,Araba/Álava,Vitoria-Gasteiz,257968.0,1059.0,17690.0,68.57439682441233
01059 Vitoria-Gasteiz,2019,Araba/Álava,Vitoria-Gasteiz,257968.0,1059.0,18062.0,70.01643614711902
01059 Vitoria-Gasteiz,2020,Araba/Álava,Vitoria-Gasteiz,257968.0,1059.0,32027.0,124.15105749550332
01059 Vitoria-Gasteiz,2021,Araba/Álava,Vitoria-Gasteiz,257968.0,1059.0,17337.0,67.20601004775786
01059 Vitoria-Gasteiz,2022,Araba/Álava,Vitoria-Gasteiz,257968.0,1059.0,80412.0,311.7130806921789
01059 Vitoria-Gasteiz,2023,Araba/Álava,Vitoria-Gasteiz,257968.0,1059.0,73570.0,285.19041121379394
01059 Vitoria-Gasteiz,2024,Araba/Álava,Vitoria-Gasteiz,257968.0,1059.0,38799.0,150.40237548843268
01059 Vitoria-Gasteiz,2025,Araba/Álava,Vitoria-Gasteiz,257968.0,1059.0,21276.0,82.47534577932147
02003 Albacete,2015,Albacete,Albacete,174137.0,2003.0,9053.0,51.98780270706398
02003 Albacete,2016,Albacete,Albacete,174137.0,2003.0,18214.0,104.59580674985787
02003 Albacete,2017,Albacete,Albacete,174137.0,2003.0,9573.0,54.9739572865043
02003 Albacete,2018,Albacete,Albacete,174137.0,2003.0,14129.0,81.13726548636993
02003 Albacete,2019,Albacete,Albacete,174137.0,2003.0,14306.0,82.15370656437173
02003 Albacete,2020,Albacete,Albacete,174137.0,2003.0,23470.0,134.77893842204702
02003 Albacete,2021,Albacete,Albacete,174137.0,2003.0,12807.0,73.54554172863895
02003 Albacete,2022,Albacete,Albacete,174137.0,2003.0,61701.0,354.32446866547605
02003 Albacete,2023,Albacete,Albacete,174137.0,2003.0,51101.0,293.4528560845771
02003 Albacete,2024,Albacete,Albacete,174137.0,2003.0,25532.0,146.62018985052
02003 Albacete,2025,Albacete,Albacete,174137.0,2003.0,12753.0,73.235441060774
02009 Almansa,2020,Albacete,Almansa,24281.0,2009.0,1010.0,41.59630987191631
02009 Almansa,2021,Albacete,Almansa,24281.0,2009.0,1266.0,52.13953296816441
02009 Almansa,2022,Albacete,Almansa,24281.0,2009.0,4473.0,184.21811292780365
