municipio,tipología,valor,población,valor_ratio
Barcelona,III. TOTAL INFRACCIONES PENALES,83913.0,1702547.0,4.93
Barcelona,I. CRIMINALIDAD CONVENCIONAL,75141.0,1702547.0,4.41
Barcelona,8. Hurtos,38861.0,1702547.0,2.28
Barcelona,11. Resto de criminalidad convencional,24325.0,1702547.0,1.43
Hospitalet de Llobregat (L'),III. TOTAL INFRACCIONES PENALES,11703.0,279993.0,4.18
Hospitalet de Llobregat (L'),I. CRIMINALIDAD CONVENCIONAL,10771.0,279993.0,3.85
Barcelona,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),8772.0,1702547.0,0.52
Barcelona,12.-Estafas informáticas,8123.0,1702547.0,0.48
Badalona,III. TOTAL INFRACCIONES PENALES,7566.0,227083.0,3.33
Badalona,I. CRIMINALIDAD CONVENCIONAL,6572.0,227083.0,2.89
Barcelona,6. Robos con violencia e intimidación,5945.0,1702547.0,0.35
Prat de Llobregat (El),III. TOTAL INFRACCIONES PENALES,5694.0,66184.0,8.6
Prat de Llobregat (El),I. CRIMINALIDAD CONVENCIONAL,5342.0,66184.0,8.07
Sabadell,III. TOTAL INFRACCIONES PENALES,5100.0,222177.0,2.3
Hospitalet de Llobregat (L'),11. Resto de criminalidad convencional,4834.0,279993.0,1.73
Terrassa,III. TOTAL INFRACCIONES PENALES,4566.0,228708.0,2.0
Mataró,III. TOTAL INFRACCIONES PENALES,4380.0,131798.0,3.32
Sabadell,I. CRIMINALIDAD CONVENCIONAL,4184.0,222177.0,1.88
Hospitalet de Llobregat (L'),8. Hurtos,3915.0,279993.0,1.4
Mataró,I. CRIMINALIDAD CONVENCIONAL,3714.0,131798.0,2.82
Terrassa,I. CRIMINALIDAD CONVENCIONAL,3552.0,228708.0,1.55
Prat de Llobregat (El),8. Hurtos,3385.0,66184.0,5.11
Badalona,11. Resto de criminalidad convencional,3368.0,227083.0,1.48
Cornellà de Llobregat,III. TOTAL INFRACCIONES PENALES,2661.0,91589.0,2.91
Santa Coloma de Gramenet,III. TOTAL INFRACCIONES PENALES,2571.0,121203.0,2.12
Manresa,III. TOTAL INFRACCIONES PENALES,2525.0,80201.0,3.15
Vilanova i la Geltrú,III. TOTAL INFRACCIONES PENALES,2306.0,70418.0,3.27
Barcelona,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",2224.0,1702547.0,0.13
Cornellà de Llobregat,I. CRIMINALIDAD CONVENCIONAL,2216.0,91589.0,2.42
Sant Boi de Llobregat,III. TOTAL INFRACCIONES PENALES,2169.0,84831.0,2.56
Santa Coloma de Gramenet,I. CRIMINALIDAD CONVENCIONAL,2151.0,121203.0,1.77
Manresa,I. CRIMINALIDAD CONVENCIONAL,2100.0,80201.0,2.62
Badalona,8. Hurtos,2093.0,227083.0,0.92
Sabadell,11. Resto de criminalidad convencional,2085.0,222177.0,0.94
Sant Cugat del Vallès,III. TOTAL INFRACCIONES PENALES,2081.0,98621.0,2.11
Mataró,11. Resto de criminalidad convencional,2021.0,131798.0,1.53
Terrassa,11. Resto de criminalidad convencional,2007.0,228708.0,0.88
Sant Adrià de Besòs,III. TOTAL INFRACCIONES PENALES,1958.0,38490.0,5.09
Vilanova i la Geltrú,I. CRIMINALIDAD CONVENCIONAL,1920.0,70418.0,2.73
Sant Adrià de Besòs,I. CRIMINALIDAD CONVENCIONAL,1773.0,38490.0,4.61
Esplugues de Llobregat,III. TOTAL INFRACCIONES PENALES,1736.0,47613.0,3.65
Rubí,III. TOTAL INFRACCIONES PENALES,1725.0,81532.0,2.12
Sant Boi de Llobregat,I. CRIMINALIDAD CONVENCIONAL,1725.0,84831.0,2.03
Granollers,III. TOTAL INFRACCIONES PENALES,1668.0,64181.0,2.6
Sant Cugat del Vallès,I. CRIMINALIDAD CONVENCIONAL,1562.0,98621.0,1.58
Barcelona,7.1.-Robos con fuerza en domicilios,1514.0,1702547.0,0.09
Esplugues de Llobregat,I. CRIMINALIDAD CONVENCIONAL,1510.0,47613.0,3.17
Castelldefels,III. TOTAL INFRACCIONES PENALES,1471.0,69450.0,2.12
Viladecans,III. TOTAL INFRACCIONES PENALES,1449.0,67348.0,2.15
Granollers,I. CRIMINALIDAD CONVENCIONAL,1445.0,64181.0,2.25
Sabadell,8. Hurtos,1440.0,222177.0,0.65
Sitges,III. TOTAL INFRACCIONES PENALES,1418.0,32405.0,4.38
Prat de Llobregat (El),11. Resto de criminalidad convencional,1376.0,66184.0,2.08
Rubí,I. CRIMINALIDAD CONVENCIONAL,1371.0,81532.0,1.68
Barcelona,9. Sustracciones de vehículos,1353.0,1702547.0,0.08
Vilafranca del Penedès,III. TOTAL INFRACCIONES PENALES,1327.0,41504.0,3.2
Hospitalet de Llobregat (L'),6. Robos con violencia e intimidación,1297.0,279993.0,0.46
Sitges,I. CRIMINALIDAD CONVENCIONAL,1263.0,32405.0,3.9
Vic,III. TOTAL INFRACCIONES PENALES,1246.0,49530.0,2.52
Montcada i Reixac,III. TOTAL INFRACCIONES PENALES,1227.0,37153.0,3.3
Mollet del Vallès,III. TOTAL INFRACCIONES PENALES,1218.0,52283.0,2.33
Barcelona,10. Tráfico de drogas,1210.0,1702547.0,0.07
Castelldefels,I. CRIMINALIDAD CONVENCIONAL,1177.0,69450.0,1.69
Cerdanyola del Vallès,III. TOTAL INFRACCIONES PENALES,1144.0,58100.0,1.97
Mataró,8. Hurtos,1133.0,131798.0,0.86
Manresa,11. Resto de criminalidad convencional,1126.0,80201.0,1.4
Vilafranca del Penedès,I. CRIMINALIDAD CONVENCIONAL,1115.0,41504.0,2.69
Gavà,III. TOTAL INFRACCIONES PENALES,1105.0,48007.0,2.3
Viladecans,I. CRIMINALIDAD CONVENCIONAL,1101.0,67348.0,1.63
Vic,I. CRIMINALIDAD CONVENCIONAL,1066.0,49530.0,2.15
Cornellà de Llobregat,11. Resto de criminalidad convencional,1041.0,91589.0,1.14
Montcada i Reixac,I. CRIMINALIDAD CONVENCIONAL,1032.0,37153.0,2.78
Santa Coloma de Gramenet,11. Resto de criminalidad convencional,1028.0,121203.0,0.85
Terrassa,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1014.0,228708.0,0.44
Badalona,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),994.0,227083.0,0.44
Terrassa,8. Hurtos,994.0,228708.0,0.43
Mollet del Vallès,I. CRIMINALIDAD CONVENCIONAL,980.0,52283.0,1.87
Barberà del Vallès,III. TOTAL INFRACCIONES PENALES,978.0,33575.0,2.91
Sant Feliu de Llobregat,III. TOTAL INFRACCIONES PENALES,976.0,46554.0,2.1
Vilanova i la Geltrú,11. Resto de criminalidad convencional,974.0,70418.0,1.38
Hospitalet de Llobregat (L'),II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),932.0,279993.0,0.33
Sabadell,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),916.0,222177.0,0.41
Terrassa,12.-Estafas informáticas,915.0,228708.0,0.4
Cerdanyola del Vallès,I. CRIMINALIDAD CONVENCIONAL,910.0,58100.0,1.57
Sant Adrià de Besòs,11. Resto de criminalidad convencional,899.0,38490.0,2.34
Badalona,12.-Estafas informáticas,891.0,227083.0,0.39
Gavà,I. CRIMINALIDAD CONVENCIONAL,877.0,48007.0,1.83
Sant Boi de Llobregat,11. Resto de criminalidad convencional,862.0,84831.0,1.02
Igualada,III. TOTAL INFRACCIONES PENALES,861.0,41466.0,2.08
Barberà del Vallès,I. CRIMINALIDAD CONVENCIONAL,858.0,33575.0,2.56
Hospitalet de Llobregat (L'),12.-Estafas informáticas,842.0,279993.0,0.3
Sabadell,12.-Estafas informáticas,830.0,222177.0,0.37
Rubí,11. Resto de criminalidad convencional,814.0,81532.0,1.0
Martorell,III. TOTAL INFRACCIONES PENALES,792.0,28507.0,2.78
Pineda de Mar,III. TOTAL INFRACCIONES PENALES,777.0,29455.0,2.64
Granollers,11. Resto de criminalidad convencional,771.0,64181.0,1.2
Ripollet,III. TOTAL INFRACCIONES PENALES,768.0,39462.0,1.95
Santa Coloma de Gramenet,8. Hurtos,746.0,121203.0,0.62
Sant Feliu de Llobregat,I. CRIMINALIDAD CONVENCIONAL,743.0,46554.0,1.6
Cornellà de Llobregat,8. Hurtos,735.0,91589.0,0.8
Vilanova i la Geltrú,8. Hurtos,723.0,70418.0,1.03
Manresa,8. Hurtos,708.0,80201.0,0.88
Sant Cugat del Vallès,11. Resto de criminalidad convencional,702.0,98621.0,0.71
Barcelona,5. Delitos contra la libertad sexual,698.0,1702547.0,0.04
Sant Vicenç dels Horts,III. TOTAL INFRACCIONES PENALES,691.0,28568.0,2.42
Sant Joan Despí,III. TOTAL INFRACCIONES PENALES,667.0,35083.0,1.9
Mataró,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),666.0,131798.0,0.51
Premià de Mar,III. TOTAL INFRACCIONES PENALES,660.0,28951.0,2.28
Igualada,I. CRIMINALIDAD CONVENCIONAL,659.0,41466.0,1.59
Martorell,I. CRIMINALIDAD CONVENCIONAL,657.0,28507.0,2.3
Esplugues de Llobregat,8. Hurtos,655.0,47613.0,1.38
Badalona,6. Robos con violencia e intimidación,653.0,227083.0,0.29
Esplugues de Llobregat,11. Resto de criminalidad convencional,651.0,47613.0,1.37
Barcelona,13.-Otros ciberdelitos,649.0,1702547.0,0.04
Santa Perpètua de Mogoda,III. TOTAL INFRACCIONES PENALES,638.0,25960.0,2.46
Sant Boi de Llobregat,8. Hurtos,615.0,84831.0,0.72
Mollet del Vallès,11. Resto de criminalidad convencional,605.0,52283.0,1.16
Sant Cugat del Vallès,8. Hurtos,603.0,98621.0,0.61
Mataró,12.-Estafas informáticas,598.0,131798.0,0.45
Montcada i Reixac,11. Resto de criminalidad convencional,593.0,37153.0,1.6
Ripollet,I. CRIMINALIDAD CONVENCIONAL,583.0,39462.0,1.48
Pineda de Mar,I. CRIMINALIDAD CONVENCIONAL,576.0,29455.0,1.96
Sitges,11. Resto de criminalidad convencional,571.0,32405.0,1.76
Sant Adrià de Besòs,8. Hurtos,555.0,38490.0,1.44
Castelldefels,11. Resto de criminalidad convencional,545.0,69450.0,0.78
Sitges,8. Hurtos,538.0,32405.0,1.66
Viladecans,11. Resto de criminalidad convencional,536.0,67348.0,0.8
Sant Vicenç dels Horts,I. CRIMINALIDAD CONVENCIONAL,529.0,28568.0,1.85
Calella,III. TOTAL INFRACCIONES PENALES,526.0,20369.0,2.58
Vilafranca del Penedès,11. Resto de criminalidad convencional,526.0,41504.0,1.27
Sant Cugat del Vallès,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),519.0,98621.0,0.53
Santa Perpètua de Mogoda,I. CRIMINALIDAD CONVENCIONAL,516.0,25960.0,1.99
Sant Joan Despí,I. CRIMINALIDAD CONVENCIONAL,515.0,35083.0,1.47
Premià de Mar,I. CRIMINALIDAD CONVENCIONAL,503.0,28951.0,1.74
Vic,11. Resto de criminalidad convencional,501.0,49530.0,1.01
Barcelona,3. Delitos graves y menos graves de lesiones y riña tumultuaria,497.0,1702547.0,0.03
Sant Cugat del Vallès,12.-Estafas informáticas,481.0,98621.0,0.49
Molins de Rei,III. TOTAL INFRACCIONES PENALES,474.0,26948.0,1.76
Granollers,8. Hurtos,473.0,64181.0,0.74
Cerdanyola del Vallès,11. Resto de criminalidad convencional,468.0,58100.0,0.81
Castelldefels,8. Hurtos,462.0,69450.0,0.67
Sant Pere de Ribes,III. TOTAL INFRACCIONES PENALES,458.0,32121.0,1.43
Barcelona,5.2.-Resto de delitos contra la libertad sexual,453.0,1702547.0,0.03
Cornellà de Llobregat,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),445.0,91589.0,0.49
Sant Boi de Llobregat,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),444.0,84831.0,0.52
Gavà,11. Resto de criminalidad convencional,437.0,48007.0,0.91
Barberà del Vallès,11. Resto de criminalidad convencional,431.0,33575.0,1.28
Manresa,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),425.0,80201.0,0.53
Santa Coloma de Gramenet,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),420.0,121203.0,0.35
Vilafranca del Penedès,8. Hurtos,416.0,41504.0,1.0
Viladecans,8. Hurtos,413.0,67348.0,0.61
Masnou (El),III. TOTAL INFRACCIONES PENALES,411.0,24479.0,1.68
Calella,I. CRIMINALIDAD CONVENCIONAL,406.0,20369.0,1.99
Manresa,12.-Estafas informáticas,403.0,80201.0,0.5
Sant Boi de Llobregat,12.-Estafas informáticas,399.0,84831.0,0.47
Sant Feliu de Llobregat,11. Resto de criminalidad convencional,397.0,46554.0,0.85
Cornellà de Llobregat,12.-Estafas informáticas,396.0,91589.0,0.43
Santa Coloma de Gramenet,12.-Estafas informáticas,391.0,121203.0,0.32
Vilanova i la Geltrú,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),386.0,70418.0,0.55
Molins de Rei,I. CRIMINALIDAD CONVENCIONAL,375.0,26948.0,1.39
Vilanova i la Geltrú,12.-Estafas informáticas,355.0,70418.0,0.5
Rubí,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),354.0,81532.0,0.43
Prat de Llobregat (El),II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),352.0,66184.0,0.53
Vic,8. Hurtos,349.0,49530.0,0.7
Viladecans,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),348.0,67348.0,0.52
Martorell,11. Resto de criminalidad convencional,347.0,28507.0,1.22
