AÑO_TRIMESTRE;AÑO;TRIMESTRE;FECHA_INICIO;FECHA_FIN;TIPOLOGIA_PENAL_PROPER;NUEVA_TIPOLOGIA_PENAL_AGRUPADA;VALOR_ACUMULADO;VALOR_TRIMESTRE
2015-1;2015;1;01/01/2015;31/03/2015;01. Delitos Y Faltas (Eu);Delitos generales;2778;2778
2015-2;2015;2;01/01/2015;30/06/2015;01. Delitos Y Faltas (Eu);Delitos generales;5635;2857
2015-3;2015;3;01/01/2015;30/09/2015;01. Delitos Y Faltas (Eu);Delitos generales;8247;2612
2015-4;2015;4;01/01/2015;31/12/2015;01. Delitos Y Faltas (Eu);Delitos generales;10974;2727
2016-1;2016;1;01/01/2016;31/03/2016;01. Delitos Y Faltas (Eu);Delitos generales;2617;2617
2016-2;2016;2;01/01/2016;30/06/2016;01. Delitos Y Faltas (Eu);Delitos generales;5362;2745
2016-3;2016;3;01/01/2016;30/09/2016;01. Delitos Y Faltas (Eu);Delitos generales;7968;2606
2016-4;2016;4;01/01/2016;31/12/2016;01. Delitos Y Faltas (Eu);Delitos generales;10684;2716
2016-1;2016;1;01/01/2016;31/03/2016;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;1;1
2016-2;2016;2;01/01/2016;30/06/2016;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;2;1
2016-3;2016;3;01/01/2016;30/09/2016;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;2;0
2016-4;2016;4;01/01/2016;31/12/2016;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;3;1
2017-1;2017;1;01/01/2017;31/03/2017;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2017-2;2017;2;01/01/2017;30/06/2017;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;-1
2017-3;2017;3;01/01/2017;30/09/2017;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2017-4;2017;4;01/01/2017;31/12/2017;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2018-1;2018;1;01/01/2018;31/03/2018;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2018-2;2018;2;01/01/2018;30/06/2018;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;1;1
2018-3;2018;3;01/01/2018;30/09/2018;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;1;0
2018-4;2018;4;01/01/2018;31/12/2018;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;1;0
2019-1;2019;1;01/01/2019;31/03/2019;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;2;2
2019-2;2019;2;01/01/2019;30/06/2019;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;2;0
2019-3;2019;3;01/01/2019;30/09/2019;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;2;0
2019-4;2019;4;01/01/2019;31/12/2019;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;3;1
2020-1;2020;1;01/01/2020;31/03/2020;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2020-2;2020;2;01/01/2020;30/06/2020;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2020-3;2020;3;01/01/2020;30/09/2020;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2020-4;2020;4;01/01/2020;31/12/2020;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;0;0
2021-1;2021;1;01/01/2021;31/03/2021;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;1;1
2021-2;2021;2;01/01/2021;30/06/2021;01. Homicidios Dolosos Y Asesinatos Consumados;Homicidios y asesinatos;1;0
